	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Podn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.0	0.04	0.0	0.03	0.0	0.0	0.09	0.0	0.13	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.08	0.07	0.26	0.06	0.0	0.0	0.0	0.0	0.0	3.67	0.13	0.09	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	1.54	4.89	2.37	0.27	0.0	0.0	0.0	1.13	2.39	2.19	4.85	5.03	5.01
Pold4	0.0	39.25	0.0	21.12	0.0	0.0	0.0	0.0	19.42	0.0	0.0	0.0	0.0	20.14	0.0	0.83	71.28	26.8	0.0	2.32	0.0	58.08	0.0	0.0	71.98	72.64	0.0	0.0	65.63	9.44	29.28	0.0	0.0	0.0	0.85	0.0	67.73	76.85	0.0	0.0	0.0	7.94	0.0	0.0	0.0	0.0	57.05	34.71	0.0	38.83	11.07	16.49	17.13	25.55	0.0	17.09	7.39	10.75	19.25	11.62	6.3	9.94	17.78	16.43	17.66
Prkcc	65.12	30.14	67.67	51.96	79.2	130.48	0.14	80.55	82.73	0.29	55.91	0.31	0.1	32.0	47.85	48.79	22.05	37.98	87.91	105.22	5.49	53.58	79.1	25.56	123.01	56.48	16.5	19.32	56.16	34.74	77.12	16.37	61.71	100.69	0.0	28.61	13.07	146.19	9.34	5.05	1.84	0.0	60.69	0.0	146.39	16.34	75.0	95.54	80.36	37.58	190.63	313.37	249.21	181.88	219.56	209.75	156.03	149.97	200.79	197.02	237.03	205.52	280.97	277.81	262.15
Prr16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.16	9.3	10.52	10.11
Rmst	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	1.07	1.33
Rnd1	27.75	42.78	2.05	2.59	0.56	3.29	3.22	0.34	1.14	2.46	1.12	1.74	1.84	1.53	1.61	2.54	2.32	1.05	2.16	3.52	1.14	2.81	0.92	1.15	1.91	1.55	1.97	3.98	1.28	0.69	2.53	2.75	1.26	2.26	1.94	1.98	0.91	64.2	2.46	0.29	34.7	2.79	1.05	2.34	2.22	3.62	0.94	37.35	1.57	0.64	23.02	13.69	15.11	23.87	15.88	17.06	22.37	11.89	7.31	9.62	13.07	17.42	25.31	23.14	23.7
Rnf169	0.0	0.0	0.0	5.0	0.0	8.82	0.0	5.05	26.96	7.27	0.02	21.54	16.61	13.01	2.92	9.41	8.12	14.75	0.05	12.79	6.9	0.0	7.54	1.11	7.83	0.0	0.0	0.0	0.0	7.33	0.04	16.6	0.04	13.46	5.31	10.83	0.0	24.21	0.0	0.12	8.14	11.87	0.18	0.07	0.16	1.34	0.96	19.8	6.34	0.01	16.09	32.94	17.95	26.16	19.19	21.67	19.81	18.59	18.52	6.58	11.63	10.01	18.41	22.99	21.86
Satb2	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.88	0.0	0.03	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.04	1.14	0.09	0.0	0.0	0.0	0.0	0.09	0.07	0.09	0.06	0.0	0.0	0.0	9.98	14.16	4.95	11.5	9.31	14.93	11.25	16.86	11.4	16.19	9.6	9.82	29.34	28.28	28.4
Scnn1g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.03	0.14
Scrt2	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.03	0.06	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.11	0.11	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.78	0.0	0.0	0.0	0.0	1.95	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.17	0.1	0.0	0.17	0.05	0.0	0.14	0.0	0.0	0.33	13.03	14.42	12.11
Sep15	165.36	121.92	340.31	323.93	96.1	419.48	15.41	313.92	177.63	263.27	249.58	74.81	207.84	314.23	189.47	305.24	186.48	32.52	261.05	131.63	174.23	268.67	265.94	213.15	254.19	124.01	245.25	408.83	29.74	62.6	277.89	177.78	170.14	206.19	130.69	305.16	152.49	867.63	479.16	417.21	189.47	166.73	96.46	96.14	439.45	359.33	157.07	416.8	80.06	138.29	388.88	364.92	626.47	379.7	271.22	447.95	543.31	475.17	413.02	315.08	310.09	344.14	205.11	217.08	206.35
Shisa4	18.81	27.3	54.19	6.5	3.78	11.85	27.99	0.0	8.92	26.03	0.21	1.72	0.0	0.53	4.03	25.44	0.0	15.96	42.57	16.1	3.16	16.77	45.97	9.77	8.71	0.0	0.0	0.0	0.0	4.69	5.05	0.25	51.08	0.95	7.04	30.47	46.69	108.54	4.39	0.0	1.52	0.0	34.95	62.01	0.0	29.09	22.33	8.07	11.74	4.52	45.99	26.35	37.06	43.54	47.23	55.84	46.03	39.9	62.23	52.4	71.1	67.55	164.99	179.46	180.47
Tbr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.76	22.24	24.06	21.6	23.68	41.85	27.71	29.47	39.15	26.75	28.03	26.29	79.44	81.98	78.39
Ticam2	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.57	0.44
Tnrc18	0.86	0.0	0.11	0.26	0.04	0.0	0.0	0.0	0.03	0.01	0.01	0.0	0.18	0.21	0.0	0.25	0.03	0.03	0.08	0.78	0.0	0.02	0.0	0.03	0.0	0.06	0.0	0.0	0.05	0.18	0.0	0.0	0.0	0.15	0.02	0.0	0.0	4.24	0.0	0.1	0.02	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.01	0.14	0.29	0.19	0.03	0.12	0.11	0.05	0.02	0.09	0.09	0.24	0.13	31.29	32.2	36.11
Ttc9b	9.62	5.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.84	0.72	0.0	0.0	0.0	0.33	0.29	0.0	0.0	0.0	2.72	0.0	0.0	0.0	0.0	1.61	0.0	0.0	18.91	0.0	0.0	0.0	1.56	8.32	0.69	0.0	0.62	0.51	0.0	0.0	0.0	0.0	0.0	0.51	0.0	77.92	57.95	64.25	61.81	52.83	82.94	70.49	32.58	78.49	57.35	73.63	77.52	202.19	231.72	229.7
Zbed6	0.0	0.0	0.0	6.64	0.0	0.0	6.89	0.0	0.16	2.44	0.0	3.52	0.0	0.02	0.0	0.0	0.0	17.99	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.8	2.02	0.0	0.0	0.0	0.0	0.0	0.11	3.89	0.0	0.0	0.0	23.64	0.0	3.74	0.0	0.0	0.0	0.0	0.0	0.0	18.02	0.09	0.09	0.0	0.0	2.51	0.0	2.74	0.06	0.45	0.66	3.03	1.41	1.71	0.2	2.75	32.02	25.57	32.1
mt_AK131577	2332.54	1945.1	497.75	729.87	1509.12	1241.89	1259.91	1740.55	1434.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1167.03	1051.38	1034.56	1454.66	1117.53	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1216.13	1016.28	1141.51	2638.52	1532.09	955.33	883.44	799.74	885.59	912.33	1278.09	1055.23	850.74	930.68	740.23	1499.9	1597.12	1233.39	1501.68	1690.75	1596.49	1758.26	1942.89	1783.03	1856.79	1815.08	1813.18	1570.81	4857.0	4144.16	4779.18
mt_AK132015	2332.54	1945.1	497.75	729.87	1509.12	1241.89	1259.91	1740.55	1434.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1167.03	1051.38	1034.56	1454.66	1117.53	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1216.13	1016.28	1141.51	2638.52	1532.09	955.33	883.44	799.74	885.59	912.33	1278.09	1055.23	850.74	930.68	740.23	1499.9	1597.12	1233.39	1501.68	1690.75	1596.49	1758.26	1942.89	1783.03	1856.79	1815.08	1813.18	1570.81	4857.0	4144.16	4779.18
mt_AK132098	2332.54	1945.1	497.75	729.87	1509.12	1241.89	1259.91	1740.55	1434.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1167.03	1051.38	1034.56	1454.66	1117.53	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1216.13	1016.28	1141.51	2638.52	1532.09	955.33	883.44	799.74	885.59	912.33	1278.09	1055.23	850.74	930.68	740.23	1499.9	1597.12	1233.39	1501.68	1690.75	1596.49	1758.26	1942.89	1783.03	1856.79	1815.08	1813.18	1570.81	4857.0	4144.16	4779.18
mt_AK136262	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	99.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.14	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
mt_AK142003	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	99.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.14	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
mt_AK166798	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	99.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.14	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
mt_AK166978	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	99.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.14	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.0	0.0	0.0
mt_AK167037	2332.54	1945.1	497.75	729.87	1509.12	1241.89	1259.91	1740.55	1434.28	1040.04	1263.81	1050.47	1078.56	1746.06	1673.84	1167.03	1051.38	1034.56	1454.66	1117.53	1060.94	1006.07	1113.29	594.69	1711.99	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1216.13	1016.28	1141.51	2638.52	1532.09	955.33	883.44	799.74	885.59	912.33	1278.09	1055.23	850.74	930.68	740.23	1499.9	1597.12	1233.39	1501.68	1690.75	1596.49	1758.26	1942.89	1783.03	1856.79	1815.08	1813.18	1570.81	4857.0	4144.16	4779.18
