	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Mll5	24.92	8.46	13.08	50.83	26.52	0.05	34.71	119.48	4.02	35.87	31.25	0.09	266.67	30.41	0.0	9.51	1.47	23.31	16.66	7.16	43.92	11.14	20.34	3.3	4.2	12.92	5.9	31.58	40.95	24.0	19.69	30.46	2.13	6.11	3.93	26.37	0.0	14.02	16.44	21.6	21.74	40.81	18.06	35.58	12.91	27.5	46.14	31.12	27.45	27.45	42.7	38.88	44.87
Mlx	77.11	0.0	74.17	0.0	141.08	0.0	92.82	312.93	6.95	0.3	61.55	0.0	0.0	87.04	0.0	52.67	49.62	93.4	28.9	41.15	31.63	63.23	33.96	1.9	221.49	0.0	77.87	0.0	6.24	69.29	41.38	1.14	187.72	27.84	0.99	0.25	0.0	138.85	65.21	0.2	39.26	0.0	49.31	0.0	80.82	0.0	13.89	77.22	54.93	60.79	33.89	33.31	30.38
Mrp63	0.0	23.68	31.1	1.26	58.4	19.17	9.96	158.64	38.44	14.6	14.4	0.0	0.0	183.04	0.0	1.23	29.26	25.55	21.0	42.52	14.42	29.95	39.18	22.49	17.24	17.58	2.78	13.01	0.22	66.22	0.0	32.34	23.67	78.17	13.55	30.1	0.0	0.0	17.32	16.57	4.56	37.41	10.8	0.38	7.23	27.59	47.28	51.37	50.44	42.07	18.0	17.96	18.33
Mtif3	11.84	4.27	30.86	0.0	0.0	0.0	26.62	57.3	0.0	0.0	33.52	0.0	0.26	0.21	0.0	0.02	0.0	0.0	0.02	11.87	0.97	0.0	0.16	3.9	0.0	0.0	0.0	0.11	0.0	32.14	0.07	0.18	3.12	3.23	5.19	6.52	0.0	0.0	0.09	0.0	16.7	0.0	17.86	37.48	0.0	0.14	16.44	20.51	17.01	15.6	7.38	7.99	8.27
Nat14	0.0	0.0	0.5	0.0	0.0	0.0	0.37	163.74	0.0	1.08	51.5	0.0	0.45	0.0	0.0	0.19	0.11	0.17	3.03	69.56	30.07	19.44	1.09	15.75	3.29	3.46	20.18	13.84	7.87	54.85	0.17	0.0	0.0	1.61	25.25	52.2	0.0	0.0	35.88	0.85	26.66	22.94	30.7	69.24	1.49	0.3	17.23	10.54	29.21	15.39	76.22	84.72	80.82
Nav3	15.26	9.11	10.39	4.67	4.61	0.0	3.89	69.29	0.0	35.29	12.13	0.0	0.0	17.75	0.0	9.62	0.46	0.0	7.88	0.49	44.83	3.34	17.9	11.21	0.22	6.25	5.46	15.52	0.0	1.83	8.1	2.11	4.37	7.53	8.57	5.51	7.54	5.15	17.74	14.42	0.0	22.43	11.4	4.1	3.46	3.49	20.0	10.62	7.46	11.27	31.8	29.42	33.78
Nebl	1.72	4.36	0.0	3.67	3.21	0.0	18.88	166.63	0.0	5.56	9.99	0.0	81.28	0.0	0.0	0.05	28.42	0.0	15.28	3.88	3.63	23.47	3.58	0.08	0.2	0.0	0.0	0.0	0.0	42.27	8.66	21.73	0.0	31.34	0.5	13.4	0.0	47.79	47.9	0.23	0.0	0.0	36.13	25.06	6.1	0.0	5.33	1.5	1.38	1.86	34.06	27.57	35.34
Nek1	0.0	0.0	0.0	53.4	6.37	0.0	0.0	177.98	98.64	13.24	5.7	0.0	0.0	22.8	0.0	0.02	23.31	13.73	16.42	7.58	13.49	16.21	0.0	7.66	0.0	0.38	0.27	30.36	0.0	28.93	7.89	0.0	0.25	16.91	0.0	19.02	0.0	0.0	0.0	0.94	0.0	9.33	8.59	7.3	35.75	3.95	20.38	13.74	12.17	7.27	28.3	23.26	29.14
Npy	138375.8	173305.25	1.6	1.46	115124.65	0.0	16044.9	43922.94	14635.6	125016.83	34339.27	0.0	0.0	80627.8	0.0	149629.49	130357.56	116117.28	120987.76	122165.94	132052.33	126501.28	130527.91	173863.58	126989.03	166048.87	191162.16	108906.97	154857.31	134158.33	153405.37	147732.76	141010.39	101137.64	151963.58	24726.66	0.0	145032.54	180453.32	92572.95	128781.07	23340.13	137945.15	32250.58	137580.94	68416.93	0.0	0.6	0.0	0.7	214.21	196.57	200.76
Nup155	5.14	0.21	0.0	5.52	0.0	0.0	0.05	100.55	12.16	0.0	22.28	0.0	0.0	0.0	0.0	2.6	0.0	0.91	0.0	0.0	5.45	0.5	1.0	0.0	1.49	16.17	6.62	0.0	0.0	0.0	3.94	5.14	0.59	0.61	0.0	2.92	0.0	0.0	3.25	0.0	0.0	0.0	14.15	20.44	8.34	0.0	0.56	5.82	4.83	4.87	12.0	10.48	10.27
Pcdhb22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.51	0.0	0.0	0.0	0.0	0.0	0.08	31.01	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.23	7.34	6.97	7.49
Pla2r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.03	0.0	0.08	0.07	0.0	0.01	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.04	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.04	0.41	0.31	0.45
Pnkp	0.0	0.0	0.0	0.0	0.64	0.0	66.8	126.53	43.96	0.0	0.0	0.0	0.0	64.55	0.0	33.3	47.93	28.82	11.55	16.77	25.12	82.15	0.0	8.82	0.0	2.0	0.0	59.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.1	41.97	0.0	19.81	0.0	17.7	10.3	4.29	10.49	19.54	20.9	21.16
Ppargc1b	0.0	0.0	0.0	0.0	0.87	0.0	0.08	40.22	0.0	0.0	0.3	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.77	0.08	0.0	0.0	0.7	0.0	0.08	21.76	0.0	7.26	5.41	15.33	1.64	2.48	0.0	0.0	0.0	0.0	0.0	0.0	30.98	0.0	0.0	0.0	11.54	1.71	1.38	0.84	1.41	7.48	8.01	8.58
Ppp1r9a	31.35	22.11	0.12	5.14	29.91	0.0	56.82	63.68	0.0	49.41	6.75	0.0	0.02	21.99	0.0	14.05	17.44	22.22	36.88	32.39	7.64	40.4	13.26	51.01	32.18	13.13	3.88	47.72	36.95	28.97	1.0	7.72	2.66	4.36	1.48	44.03	0.0	19.07	17.29	43.42	29.72	16.61	37.47	16.35	16.6	47.26	48.43	71.24	58.61	56.6	116.6	102.97	112.99
Prkce	25.29	36.02	33.04	33.87	7.35	0.0	1.85	144.72	0.0	41.36	5.16	0.0	0.0	39.72	0.0	13.53	4.0	52.18	23.33	40.61	14.98	10.24	30.49	32.39	2.91	46.45	9.5	4.03	94.8	6.48	28.63	1.57	23.44	1.56	1.05	31.8	0.0	12.22	0.04	32.18	16.52	114.56	2.34	38.81	17.32	38.86	85.56	119.61	90.9	95.23	203.76	201.38	207.81
Prrc1	0.0	0.14	0.0	0.0	0.0	0.0	0.0	36.47	0.0	8.31	47.3	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.3	0.2	0.0	0.0	19.22	18.67	0.0	1.53	0.0	0.0	1.54	0.0	0.0	0.0	0.05	10.88	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.05	11.81	0.09	1.07	0.0	4.89	3.75	0.43	1.07	13.02	13.51	12.87
Prrx1	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.35	0.4	0.0	0.05	0.24	0.0	0.0	0.0	0.07	0.03	0.07	0.03	0.05	0.0	0.1	0.07	0.18	0.07	0.03	0.0	0.3	0.0	0.04	0.0	0.0	0.0	0.08	0.06	0.0	0.63	0.0	0.0	0.0	0.06	0.0	0.13	0.06	0.0	0.0	1.17	0.19	0.34	0.56	4.61	4.23	4.13
Pwwp2a	19.56	19.2	7.34	34.87	7.69	2.08	6.55	90.88	6.52	3.77	47.1	3.55	1.81	28.51	4.0	1.19	1.37	5.6	15.79	2.59	52.07	2.65	21.92	33.22	1.93	24.67	16.9	1.62	48.29	26.77	4.86	1.88	5.3	26.73	2.61	2.88	2.7	3.46	2.14	6.82	32.71	2.81	22.43	44.75	1.54	2.51	32.67	27.47	22.42	26.79	18.77	17.43	18.64
R3hdm1	5.8	0.42	27.89	21.82	16.58	0.0	104.92	135.22	67.98	111.17	77.44	0.0	0.0	11.65	0.0	18.21	34.25	0.32	8.39	55.78	39.0	11.01	0.46	20.77	4.51	11.03	24.25	82.38	48.3	25.99	31.24	46.64	14.63	22.69	11.19	25.16	3.36	22.83	40.89	43.28	15.77	90.73	59.81	21.52	47.56	72.23	157.64	162.86	152.21	147.65	181.8	152.46	190.21
Rab11fip4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78	0.0	1.23	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.44	2.2	127.04	122.04	128.94
Ran	192.2	176.02	183.06	206.48	240.77	0.0	214.29	874.35	247.9	304.78	366.69	0.0	0.0	87.59	0.0	161.02	295.63	502.87	287.73	377.15	287.31	272.49	344.99	275.19	255.37	228.16	161.71	277.94	283.82	199.63	210.08	298.02	274.03	219.38	150.88	410.0	0.0	320.02	274.67	173.07	91.93	311.32	346.93	243.82	569.33	82.68	368.93	262.07	279.73	339.72	171.87	180.52	166.51
Rbfox3	8.5	8.63	47.31	0.0	12.26	0.0	35.55	97.77	0.0	88.65	26.28	0.0	0.0	24.33	0.0	2.52	0.11	2.04	12.3	11.2	20.78	11.02	2.52	6.44	0.0	0.0	3.83	12.14	0.31	1.18	5.12	0.39	6.36	4.76	0.09	39.7	0.0	15.42	14.91	5.04	24.95	3.55	13.57	17.0	0.2	23.69	33.93	34.44	34.55	34.4	216.71	228.38	226.62
Rnf44	0.0	7.16	0.0	0.0	22.04	0.0	1.45	106.27	0.0	27.0	17.88	0.0	0.0	35.09	0.0	0.0	0.26	0.03	5.9	0.0	13.89	0.0	0.0	1.56	12.16	2.11	0.0	0.0	0.0	0.0	0.0	0.23	0.0	1.09	11.9	3.15	0.0	7.27	25.86	0.0	0.0	0.0	22.42	29.47	0.0	0.0	12.32	4.92	6.31	7.81	99.93	107.11	100.64
Rrm2b	28.71	0.0	3.51	0.0	30.9	0.0	8.11	126.98	0.0	6.65	126.8	0.0	0.0	25.9	0.0	11.97	4.17	0.0	2.17	1.97	50.76	3.3	26.83	0.0	0.51	0.0	0.44	19.69	58.22	0.0	60.89	1.09	0.0	5.87	31.4	0.0	0.0	9.63	16.94	12.99	0.0	11.16	16.16	7.71	28.08	0.0	20.37	17.31	15.13	12.82	26.34	20.33	23.84
Rtn4	140.25	136.34	53.16	53.21	89.97	0.0	158.82	98.2	0.18	92.81	135.85	0.0	0.0	22.98	0.0	240.25	171.67	96.47	192.2	43.87	143.47	135.8	87.83	88.72	61.16	83.76	80.24	134.22	142.4	94.76	119.42	76.05	86.34	93.29	46.91	85.18	82.9	55.42	146.12	89.95	53.07	165.19	117.43	165.57	217.93	3.52	301.22	209.84	228.01	222.14	345.7	345.07	328.47
Samd8	51.98	46.18	4.06	0.35	47.88	13.23	35.29	200.68	16.1	70.36	91.4	0.0	0.31	37.13	0.0	14.08	5.73	19.26	14.91	26.28	56.02	12.4	16.26	23.41	45.45	7.48	20.49	75.61	26.73	6.72	13.68	2.93	17.99	9.06	1.51	5.97	1.37	21.11	56.29	45.33	25.7	55.04	26.36	51.63	19.01	5.41	81.26	99.04	62.59	56.16	34.5	32.1	33.8
Sf3b2	69.28	78.47	15.03	119.27	43.02	0.0	32.29	190.04	5.17	73.72	134.25	0.0	0.0	101.41	16.2	61.16	129.39	58.31	61.65	54.82	59.34	53.56	97.05	44.98	45.07	54.6	47.1	178.52	69.85	32.56	9.0	132.68	49.75	71.46	64.83	44.43	0.0	50.17	44.51	165.68	121.96	97.08	27.87	189.04	87.73	38.12	97.01	104.42	111.6	123.86	167.14	177.62	163.63
Slc35a4	27.39	35.36	66.03	76.93	6.12	0.13	72.7	275.56	0.0	0.0	106.22	0.0	0.0	0.0	0.0	30.97	0.12	0.04	0.12	27.86	0.0	0.0	0.0	13.63	0.0	0.12	0.0	0.0	37.54	82.42	0.1	39.23	7.1	35.15	41.95	69.39	0.46	39.88	53.64	77.77	0.0	70.64	0.0	120.99	0.33	189.09	58.51	78.8	88.57	77.47	40.6	44.85	39.4
Slc39a11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	6.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.63	1.28	13.51	11.6	12.26
Slc4a10	67.05	123.65	14.65	3.39	70.52	0.0	82.14	370.52	318.59	79.78	82.9	0.0	0.0	133.35	0.0	31.75	9.6	50.31	46.58	57.9	41.5	15.32	65.46	80.7	46.05	57.92	11.85	125.59	16.0	51.98	74.47	81.16	28.18	37.72	46.95	83.45	0.23	42.67	43.72	156.72	33.33	210.11	53.83	121.02	11.74	193.62	159.55	383.75	200.03	205.61	157.25	141.18	148.95
Snx22	0.0	0.0	0.0	0.0	0.0	0.0	3.9	41.92	0.0	0.0	38.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.64	0.0	0.0	0.0	4.25	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.87	2.0	21.16	2.5	3.29	3.65	2.1	12.79	12.52	14.18
Sp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.19	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.22	0.0	8.26	0.0	0.38	0.0	4.59	0.0	0.0	1.33	0.0	0.95	12.34	0.0	0.0	0.76	2.71	2.21	1.31	12.62	10.74	11.9
St6gal2	0.85	5.13	0.0	0.0	0.0	0.0	0.0	75.25	0.0	47.27	0.0	0.0	0.0	49.88	0.0	0.0	0.0	0.9	0.0	0.53	0.0	0.0	22.95	0.11	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.46	0.13	0.0	19.6	8.54	0.0	0.0	8.33	6.45	4.25	8.27	14.16	11.91	16.59
St8sia5	0.0	0.0	0.0	0.0	0.0	0.0	0.45	181.54	0.0	74.28	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.68	0.0	0.0	0.0	9.75	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	12.56	3.13	0.0	0.0	61.74	33.72	13.57	35.26	21.43	60.82	59.54	62.73
Tanc2	7.3	11.35	3.32	0.06	11.0	0.03	6.25	62.69	0.0	27.18	69.25	0.5	0.09	21.21	0.62	16.22	0.09	9.58	23.13	4.89	11.48	19.71	0.11	0.03	1.87	3.43	3.64	8.81	0.14	10.09	9.45	4.58	43.26	15.35	9.15	42.72	0.0	15.25	2.26	5.21	17.97	49.43	10.32	15.06	10.35	60.75	46.3	42.05	29.73	30.95	57.39	54.13	60.94
Tmem127	35.36	11.57	19.37	0.0	19.11	0.0	32.59	162.08	0.89	4.6	93.34	0.0	0.0	0.0	0.0	57.73	40.37	0.02	65.52	0.0	1.68	7.49	0.57	17.4	56.21	41.44	0.0	28.57	11.88	13.02	78.36	0.0	0.19	8.58	38.15	10.86	0.0	24.41	35.32	31.51	54.38	64.6	10.31	0.0	28.0	0.32	25.83	27.43	23.19	24.34	76.31	74.31	73.22
Tmem181a	45.19	3.49	0.0	0.0	7.0	0.0	19.11	132.52	2.84	0.27	17.55	0.0	0.0	0.0	0.0	9.01	53.16	30.33	0.74	54.22	0.61	16.07	7.04	2.43	15.79	8.2	0.0	29.43	3.56	30.18	15.71	4.72	44.85	8.78	20.61	4.58	0.0	23.63	3.15	17.22	9.93	53.99	26.85	0.25	2.89	6.49	35.78	15.48	23.8	18.13	77.48	72.85	83.86
Tprkb	3.99	32.15	80.11	66.9	5.08	4.12	115.58	203.71	17.12	73.51	60.12	11.74	12.67	9.57	1.14	55.67	90.18	17.93	36.44	45.38	32.01	46.52	27.13	52.58	2.34	6.68	120.75	67.09	3.06	118.17	70.99	73.06	32.08	4.27	37.21	22.09	3.81	69.37	5.53	8.57	69.75	7.46	16.6	165.76	14.21	9.62	61.78	31.68	42.51	33.88	63.06	59.88	66.59
Trim8	4.33	0.0	0.12	21.46	1.8	0.0	8.71	114.32	0.0	20.12	1.85	0.0	0.0	0.16	0.0	9.97	12.74	0.66	4.06	1.71	0.67	2.74	3.29	13.15	0.0	0.99	1.97	0.0	3.11	1.41	15.13	0.0	0.42	0.21	0.0	2.78	0.39	5.11	0.77	7.58	0.0	0.33	5.3	0.28	0.0	10.43	2.49	4.22	2.86	3.31	48.16	53.92	51.73
Ttc7b	46.27	21.78	30.87	0.0	0.0	0.0	24.57	180.23	0.0	11.64	161.56	0.0	0.0	35.45	0.0	19.56	9.92	0.03	0.1	0.0	31.56	14.64	1.39	8.53	0.25	2.88	0.0	0.0	98.07	0.17	2.17	19.06	18.52	2.14	0.29	2.43	0.0	40.8	10.84	33.2	32.93	25.67	15.66	0.0	0.0	59.88	19.88	11.77	17.64	21.89	140.14	145.7	148.07
Usp19	10.77	1.44	4.82	3.31	0.4	0.0	3.48	63.67	4.56	2.14	1.45	0.0	0.0	0.11	0.0	1.12	0.04	1.2	1.14	1.62	0.59	0.0	2.2	1.31	0.69	0.0	1.08	0.0	9.17	0.83	1.63	1.23	0.94	9.68	0.0	8.27	0.0	12.57	3.56	1.28	0.8	2.58	0.0	2.72	0.57	0.0	2.35	3.46	3.98	5.64	83.97	82.11	83.33
Wdr36	0.97	2.49	7.4	80.99	6.68	0.0	72.79	182.67	0.0	3.21	3.99	0.0	0.0	0.0	0.0	38.99	18.9	0.37	1.04	36.92	0.0	91.73	2.31	49.17	17.14	49.07	75.91	0.0	8.22	44.7	4.22	0.79	0.0	46.41	0.67	46.74	0.0	37.58	50.05	5.02	0.0	2.44	2.28	8.46	12.87	0.0	36.02	23.28	26.58	26.79	27.26	23.75	24.17
Xkr6	0.0	34.32	0.0	0.0	0.0	0.0	0.0	70.67	0.0	0.0	51.75	0.0	0.0	0.0	0.0	20.24	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	9.12	0.0	2.25	1.66	0.27	0.82	2.73	2.05	3.5
Zcchc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.39	0.0	0.0	29.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	31.94	0.0	0.0	4.25	4.38	0.54	5.83	7.12	5.93	6.76
Zfp956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.95	0.0	0.0	82.28	0.0	0.0	0.0	0.0	0.05	0.06	0.04	0.0	0.0	0.0	0.0	0.0	10.71	9.22	0.82	7.04	0.1	0.0	6.8	4.65	24.34	0.0	0.0	0.0	99.9	0.0	35.28	0.0	82.31	0.0	0.0	0.0	0.0	0.0	123.87	1.2	13.94	8.23	18.73	18.73	20.12	19.04
c2_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1	0.0	0.0	0.0	0.0	42.59	22.08	0.0	0.0	0.0	27.9	0.0	89.84	0.0	7.47	0.0	0.0	0.0	12.54	14.01	0.0	0.0	0.0	0.0	0.0	22.57	70.5	17.89	0.0	0.0	0.0	0.0	0.0	9.1	8.89	29.95	30.39	32.11
