	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_12	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_15	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lyst	14.41	3.08	6.95	0.0	0.0	0.0	0.0	1.47	0.12	0.0	39.01	14.18	0.0	16.57	11.04	32.63	0.02	7.25	5.82	10.3	0.04	21.03	8.21	14.19	8.05	18.93	6.81	12.8	18.32	10.47	8.01	16.46	9.21	2.16	0.7	3.61	3.98	33.11	3.58	3.7	20.93	0.95	3.76	0.0	0.06	0.0	1.77	3.2	0.0	7.82	7.31	0.27	4.15	1.59	1.85	0.96	4.91	3.33	3.88	17.51	14.99	20.29
Madd	12.9	29.1	22.14	0.11	0.07	0.0	0.0	28.94	26.5	0.19	52.39	0.13	0.0	20.22	11.84	9.56	0.22	0.46	2.86	23.31	56.27	36.41	16.94	26.17	27.62	1.51	12.24	11.81	49.45	0.21	0.54	0.42	10.68	0.04	19.43	16.24	0.14	18.49	29.69	0.59	17.68	22.68	19.22	0.05	0.69	0.0	2.45	19.9	1.16	17.1	26.52	7.48	33.93	11.43	34.69	58.35	36.02	27.52	31.56	113.32	109.49	109.17
Mthfr	0.0	0.0	2.99	0.0	0.0	0.0	0.0	0.0	1.65	0.0	51.83	0.0	0.0	0.0	0.0	0.0	0.4	0.0	1.49	0.0	0.0	0.05	0.0	17.68	0.92	0.0	0.0	0.0	0.0	0.0	8.53	0.0	0.0	36.08	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	3.58	0.0	0.0	0.0	12.5	9.53	0.0	3.13	0.0	0.0	8.99	0.0	0.59	5.38	3.61	1.06	1.78	16.49	17.06	15.82
Myst4	0.61	0.0	8.13	0.0	0.0	6.48	0.0	6.38	0.03	4.77	92.44	6.28	0.0	0.5	0.05	0.65	1.1	0.0	0.02	0.58	0.03	0.0	0.0	0.0	0.16	0.06	0.0	4.63	0.03	0.0	3.36	2.5	2.02	0.0	0.0	4.55	0.0	0.0	0.0	0.0	0.0	0.27	14.52	0.0	0.11	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.12	6.01	8.26	11.76	8.15	9.61	5.33	24.86	24.19	26.41
Nbas	0.7	4.29	0.91	0.0	0.0	0.0	0.0	16.3	11.74	0.0	46.66	6.45	0.0	1.0	0.0	11.52	22.94	0.34	7.86	0.01	16.0	0.0	0.62	0.04	10.63	18.38	0.0	0.0	0.0	21.72	0.35	16.5	0.06	0.0	0.0	4.41	9.46	19.34	0.37	0.0	0.13	4.44	5.54	0.0	0.0	0.0	0.0	1.18	0.0	9.44	5.93	0.0	11.35	9.98	6.99	5.24	2.93	5.12	6.32	16.9	17.21	17.74
Nbea	1.72	0.06	10.17	0.0	0.0	0.0	0.0	0.02	0.69	38.08	20.59	1.13	0.0	11.57	2.1	0.29	0.01	0.67	13.3	1.12	2.61	1.19	16.14	5.43	15.99	0.11	10.97	15.5	21.33	6.18	9.07	0.75	6.06	14.04	0.14	5.01	0.02	5.28	30.62	0.0	11.75	8.62	20.54	0.0	0.0	0.0	13.35	9.66	19.33	1.56	1.03	34.92	0.64	12.29	19.72	25.57	26.53	21.99	19.1	86.62	79.29	87.87
Nedd4l	18.02	2.4	4.0	0.0	0.0	110.35	0.0	0.2	36.49	9.4	102.22	8.32	0.0	31.98	4.1	0.05	7.58	2.55	11.46	7.9	5.5	16.31	12.45	1.72	13.43	16.85	43.72	18.28	0.36	9.48	15.36	15.5	12.06	0.0	1.05	0.33	0.09	18.76	10.58	1.79	8.33	0.42	25.87	0.0	0.0	0.0	13.81	7.69	2.83	28.72	38.61	30.62	34.88	0.02	29.18	16.21	23.57	21.45	19.42	51.05	50.82	53.0
Npcd	0.0	1.93	16.12	0.0	0.0	0.0	0.0	18.22	2.08	0.24	84.93	0.33	0.0	2.38	14.8	2.03	1.0	0.24	2.08	0.65	4.88	10.41	0.0	12.02	17.66	48.36	10.75	10.38	1.71	17.4	23.24	6.77	0.05	0.66	20.84	3.39	6.56	0.0	1.3	3.35	2.7	10.7	18.85	0.06	0.0	0.0	0.62	17.27	45.08	2.73	40.56	0.81	5.19	6.1	0.0	2.28	3.74	2.61	4.64	247.5	166.76	178.33
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	108594.8	96206.73	67463.47	77711.12	125016.83	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	985.16	0.57	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	70964.58	137580.94	120620.2	0.0	0.0	0.99	0.6	0.7	214.21	196.57	200.76
ORF61	0.0	3.71	0.0	0.0	0.0	0.0	0.0	0.36	3.13	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.09	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.98	0.39	0.85	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.82	0.0	0.0	0.27	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.14	0.26	0.11	0.27	0.16	106.73	123.33	117.39
Ogt	51.43	63.79	63.3	0.09	0.0	0.06	0.0	148.94	79.12	79.77	208.66	148.8	1.16	31.83	12.54	29.83	1.8	25.01	46.53	46.32	29.78	75.47	24.33	74.26	96.31	102.13	131.85	49.74	45.83	119.1	10.79	22.69	9.01	0.65	62.05	78.43	49.95	43.33	114.91	37.7	15.45	56.64	143.91	0.95	0.14	51.94	61.23	43.56	27.99	29.94	3.53	0.26	39.65	45.4	80.78	73.32	57.55	108.43	72.37	186.13	173.01	183.72
Pdzd8	5.36	27.22	9.19	43.45	2.7	0.0	0.0	23.51	17.73	29.8	105.69	15.59	0.0	19.33	5.38	17.67	18.48	9.68	17.8	16.6	17.08	9.62	1.99	8.11	5.09	4.07	7.49	7.14	18.96	11.01	3.37	8.76	15.57	18.02	23.35	0.15	29.81	3.26	19.92	4.28	30.15	7.23	41.32	0.0	0.11	0.0	12.75	33.3	25.57	0.0	6.62	6.57	27.96	9.28	26.81	26.36	24.43	53.48	31.01	31.11	27.94	29.28
Phf8	1.09	5.85	1.03	0.0	0.0	0.0	0.0	0.0	1.53	14.03	57.16	36.08	0.0	0.93	11.12	12.62	44.97	2.09	0.31	0.19	27.59	0.6	0.53	25.33	33.19	2.52	0.75	22.71	10.89	8.58	7.69	0.06	2.19	0.0	0.67	0.68	0.07	23.91	4.55	10.26	17.28	46.41	3.46	0.0	0.0	0.0	10.15	19.51	0.0	1.78	27.13	0.0	32.02	0.0	12.72	12.42	16.03	5.33	4.05	12.95	12.9	13.57
Pign	0.0	15.93	1.7	0.0	0.0	0.0	0.0	0.0	19.35	0.0	34.59	0.88	0.0	0.36	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.55	0.0	0.0	0.65	0.03	1.27	0.03	0.0	0.07	0.0	11.33	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.42	0.03	0.0	0.0	0.0	0.0	0.0	0.0	2.62	1.5	2.19	3.04	3.09	7.15	7.09	8.24
Pip5k1c	8.17	24.58	0.0	0.0	0.0	0.0	0.0	0.0	101.39	60.93	131.22	33.7	0.0	1.34	30.87	10.41	0.0	0.12	15.19	19.89	0.03	0.51	0.0	0.59	0.0	21.24	0.0	0.53	1.53	0.0	38.41	27.87	7.71	13.79	0.0	14.44	7.35	12.15	0.09	5.35	14.86	32.82	22.09	0.0	0.0	0.0	23.82	22.86	36.78	28.5	32.12	6.95	24.25	0.0	39.67	44.53	45.42	43.34	37.25	278.69	283.61	289.0
Ppp6r3	10.55	0.15	0.0	0.0	0.0	0.0	0.0	6.26	15.03	25.1	102.87	41.67	2.37	10.3	4.75	19.62	0.0	4.15	1.72	3.02	0.07	2.0	0.0	0.0	0.47	0.69	13.7	3.76	0.1	6.7	35.78	56.62	0.0	0.0	40.84	0.18	0.12	11.7	7.96	11.03	1.08	15.61	13.19	0.0	0.0	0.0	0.0	0.53	1.43	0.0	18.12	5.15	6.38	1.28	15.67	7.66	10.83	14.53	9.58	48.95	48.36	48.93
Prkcb	13.39	45.18	11.53	0.12	0.1	0.0	0.0	111.88	122.43	61.55	57.74	74.86	0.04	8.6	24.56	14.93	2.64	6.89	28.23	9.02	2.13	11.3	34.75	23.49	15.0	9.01	0.36	2.83	3.8	3.33	15.12	33.02	0.06	32.65	30.8	5.25	14.58	0.37	3.4	2.75	0.14	7.3	117.39	0.28	4.87	0.0	0.27	0.11	91.21	0.52	2.75	4.77	1.86	8.53	313.34	329.4	257.9	279.7	235.19	360.87	341.57	387.59
Ptpro	13.86	0.72	12.54	0.0	0.0	0.0	0.0	39.52	86.37	0.0	85.61	0.23	0.0	0.0	0.0	0.0	0.0	38.28	0.0	0.0	37.5	0.22	2.56	19.23	0.0	0.41	0.0	2.26	0.0	0.0	0.0	11.31	33.25	4.01	1.48	0.0	0.0	2.56	38.78	0.03	0.06	0.0	6.93	0.0	0.0	0.0	3.0	15.02	0.0	0.0	12.2	2.61	0.41	3.27	0.22	4.1	3.0	2.91	0.36	16.35	19.07	18.25
Rab12	80.88	27.79	51.57	1.27	38.56	1.9	0.0	15.1	91.05	4.78	153.9	108.05	0.19	8.76	41.03	42.14	14.04	19.76	15.85	13.44	35.15	35.91	20.98	42.42	27.81	13.81	11.05	16.79	54.72	108.56	12.97	1.56	6.64	13.21	50.34	18.17	101.14	10.4	16.46	17.67	10.59	5.32	81.39	0.0	2.69	0.0	28.77	52.89	27.49	25.62	24.82	20.58	2.13	18.82	41.67	37.98	10.84	37.26	50.51	112.99	122.88	106.48
Rab2a	102.81	198.69	102.68	0.0	0.2	0.0	0.0	14.47	140.78	21.15	684.88	259.3	0.0	57.47	56.41	304.22	245.8	188.19	85.58	232.89	241.51	145.07	84.55	190.91	51.08	216.98	84.52	336.15	137.17	200.03	0.0	290.05	298.0	67.95	187.59	187.25	123.41	83.25	251.64	114.52	42.73	96.66	261.28	0.0	0.0	11.4	108.04	46.94	96.36	201.65	118.07	136.34	71.54	135.55	260.71	262.57	198.24	289.57	246.87	299.53	306.45	276.36
Rab4b	55.76	71.02	94.74	0.0	0.0	0.0	0.0	146.11	81.49	152.08	204.48	276.08	0.0	31.78	158.18	78.0	51.32	0.0	109.56	51.42	181.55	56.67	0.0	107.54	39.59	61.65	55.0	102.04	0.0	40.68	98.64	7.81	20.11	0.0	51.59	78.2	43.04	34.46	38.28	19.64	94.6	126.44	60.12	0.0	0.0	0.0	78.68	125.19	0.3	50.04	69.25	0.0	108.31	49.71	53.36	72.76	74.34	40.99	61.73	93.04	99.86	91.08
Rbfox3	8.5	8.63	12.26	0.0	0.0	0.0	0.0	0.5	0.86	33.13	18.34	88.65	0.0	5.19	4.87	2.52	0.04	0.11	0.47	2.04	12.3	11.2	20.78	26.2	2.19	11.02	15.92	2.52	6.44	0.0	0.0	0.08	3.83	0.31	6.01	1.18	5.12	0.39	6.36	3.65	4.76	0.09	23.13	0.0	0.0	0.0	15.42	14.91	5.04	24.95	13.57	4.03	0.2	5.28	33.93	25.86	37.44	34.44	34.4	216.71	228.38	226.62
Rph3a	51.39	76.82	0.19	0.0	0.21	4.92	0.0	33.76	282.63	325.57	62.75	254.99	0.0	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	26.4	8.71	51.57	14.26	37.75	68.53	41.54	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	39.75	0.07	0.28	0.34	76.8	11.54	46.94	41.22	75.04	0.24	43.48	32.02	136.01	149.69	112.62	133.37	122.7	260.55	249.44	277.37
Rsbn1l	0.8	0.0	0.9	0.0	0.0	0.0	0.0	0.94	8.68	0.0	49.78	18.63	0.0	5.46	0.0	0.8	0.0	0.0	0.0	6.87	7.81	0.0	0.0	0.0	0.14	0.0	0.43	0.0	20.31	0.0	0.0	0.0	0.0	0.04	0.0	0.0	1.83	0.0	0.0	0.03	0.04	0.0	3.78	0.0	0.0	0.0	0.26	19.6	5.72	0.0	0.0	0.0	0.0	0.29	15.65	5.47	13.83	7.33	5.5	13.97	12.85	14.07
Scn8a	11.11	1.62	22.85	0.0	0.0	0.0	0.0	28.61	33.93	12.61	22.14	25.38	0.0	19.35	27.62	14.51	0.62	4.45	0.02	0.83	0.84	22.26	37.81	14.66	43.77	9.12	27.8	4.12	1.37	21.33	4.46	33.7	11.53	0.0	35.78	11.16	6.99	9.25	1.12	9.79	7.0	10.7	43.36	0.0	0.0	0.0	0.0	8.24	26.53	17.18	24.0	0.0	1.44	10.73	35.51	39.77	41.09	30.62	33.92	111.53	100.99	112.93
Scyl2	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.72	0.0	0.0	0.0	4.37	0.07	0.0	32.97	12.85	0.89	0.0	1.77	0.63	0.0	0.0	29.97	16.9	0.0	0.0	0.0	0.0	1.46	0.56	27.51	0.0	0.18	0.0	0.59	0.0	2.65	0.0	0.0	3.08	0.0	0.0	0.0	2.08	14.67	0.0	0.0	0.0	0.0	0.62	0.24	13.23	1.08	2.58	2.94	1.51	27.9	25.34	24.36
Sema7a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.51	0.0	6.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.36	0.9	1.27	1.48	137.6	140.51	143.05
Slc12a4	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.34	0.0	32.05	31.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	10.21	2.18	3.56	1.45	12.87	12.63	12.54
Slc4a10	67.05	123.65	70.52	0.0	0.0	0.0	0.0	69.19	60.22	161.31	85.11	79.78	0.0	51.52	179.61	31.75	71.54	9.6	122.55	50.31	46.58	57.9	41.5	44.4	22.92	15.32	54.46	65.46	80.7	46.05	57.92	83.69	11.85	16.0	60.72	51.98	74.47	81.16	28.18	53.82	37.72	46.95	142.98	0.16	0.0	0.0	42.67	43.72	156.72	33.33	53.83	78.22	11.74	104.33	159.55	210.84	123.21	383.75	205.61	157.25	141.18	148.95
Slc6a11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	16.81	0.0	0.0	0.03	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	2.11	1.75	3.66	91.39	91.42	98.55
Sorl1	24.51	16.66	19.36	0.0	0.0	0.0	0.0	39.7	41.07	101.24	54.88	26.29	0.0	0.24	23.82	35.95	2.65	26.03	0.02	0.03	0.06	6.04	28.36	13.49	0.11	19.3	3.05	13.97	3.43	2.99	15.42	1.98	6.07	0.0	24.29	33.82	8.97	20.78	6.0	20.85	8.1	19.27	32.85	0.0	0.0	0.0	0.0	0.03	0.24	26.02	18.02	32.34	50.91	42.56	16.98	33.38	24.3	20.07	19.86	108.6	99.88	115.58
Terf2ip	15.52	7.78	27.16	6.04	18.03	7.52	0.11	9.93	19.2	50.93	113.32	16.43	7.22	7.75	12.04	5.72	5.73	3.66	11.63	5.23	9.72	10.16	8.31	6.22	25.7	11.53	33.13	17.11	50.59	44.22	14.96	8.79	34.03	8.66	38.51	8.4	4.9	9.84	4.56	9.4	6.57	18.59	17.42	5.39	14.7	1.96	23.89	7.1	30.25	5.65	8.7	9.79	2.23	24.37	14.79	12.38	14.48	11.38	10.28	38.4	37.11	37.75
Thumpd1	2.41	0.0	1.0	0.0	0.0	0.0	0.0	0.07	0.71	67.01	138.48	2.66	0.0	9.48	14.52	0.03	0.0	15.23	11.23	0.08	0.08	6.18	0.12	0.0	1.31	36.78	2.96	0.0	2.06	0.0	19.46	0.18	48.11	0.0	0.0	0.79	6.7	0.33	47.95	0.0	27.0	43.34	14.64	0.22	0.0	0.0	1.73	8.11	0.13	0.0	37.9	38.84	0.11	1.97	16.62	34.6	1.86	13.38	12.83	44.76	47.95	43.75
Tmem181b-ps	50.64	44.65	17.52	22.27	0.0	0.0	0.0	114.87	59.96	84.85	96.7	4.57	0.0	30.96	36.07	64.45	8.48	20.35	22.23	33.28	18.06	51.44	55.6	56.28	7.85	44.62	12.73	26.21	20.39	45.02	7.33	57.69	1.98	0.1	37.55	7.99	35.56	37.31	18.23	9.18	15.2	65.89	44.33	0.0	0.0	0.0	24.55	29.06	20.22	15.34	40.59	12.04	23.89	8.44	50.03	67.68	37.72	70.0	39.73	112.88	105.35	113.69
Unc80	4.51	29.99	11.41	0.0	0.0	0.0	0.0	23.46	19.02	31.37	16.6	37.37	0.0	12.96	4.83	4.08	0.02	16.84	6.33	0.28	0.75	7.2	16.96	2.84	16.9	4.82	13.1	0.55	10.96	11.57	21.72	26.9	0.26	0.07	0.19	0.0	9.91	0.04	0.83	7.39	6.12	0.86	29.59	0.02	0.0	0.0	6.08	1.83	31.74	10.96	10.12	13.63	15.8	0.1	31.01	24.6	29.51	26.78	25.88	84.37	69.19	87.32
Wash	5.67	17.2	4.41	0.18	0.48	9.71	0.0	23.73	58.48	19.94	52.75	6.63	0.1	3.93	19.59	4.25	5.03	24.17	6.51	4.14	3.35	4.31	4.7	2.52	5.27	17.1	16.75	3.88	4.45	4.01	3.85	5.57	3.87	2.72	6.38	5.97	3.6	19.47	5.94	5.08	3.49	19.09	16.52	9.01	1.32	2.44	4.63	3.59	5.49	8.66	28.86	5.18	3.03	3.13	10.22	11.8	14.32	12.48	10.35	28.19	29.78	29.09
Xpo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	4.36	72.44	6.24	0.0	1.49	1.8	0.02	0.0	0.0	0.0	19.2	0.42	1.31	0.0	0.0	2.57	0.58	0.52	1.38	6.59	0.0	36.52	0.0	35.17	5.29	0.0	24.51	2.8	0.0	0.16	1.04	0.0	0.5	1.57	0.0	0.0	0.0	3.47	3.23	4.57	0.0	1.4	0.0	0.0	2.21	5.36	2.07	1.78	3.09	2.1	6.75	7.46	7.35
Zbtb41	4.3	0.0	0.0	0.0	0.05	0.04	0.0	21.11	23.26	0.0	53.88	0.0	0.0	0.12	15.71	0.08	0.0	0.24	26.88	0.0	0.01	6.54	0.04	0.0	0.0	0.0	8.71	15.95	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	11.95	0.0	11.4	2.38	0.0	0.0	0.0	1.15	13.32	0.0	0.0	0.0	0.0	0.0	10.79	1.98	1.62	0.58	3.2	2.91	9.66	8.26	9.05
