	TCGA.BH.A18U.01A.21R.A12D.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A8.A07S.01A.11R.A034.07	TCGA.A2.A0EW.01A.21R.A115.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A08F.01A.11R.A00Z.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.WRHU.0326.SM.3MJFY	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.38.4625.01A.01R.1206.07
SLC7A14	0.0	0.0	0.35	0.0	0.0	0.0	0.37	0.36	0.0	0.0	0.0	0.33	0.37	0.75	0.0	1.51	1.13	0.37	2.94	1.6	0.11	0.0	0.0
SLC8A3	1.62	1.2	3.69	2.46	0.96	0.32	4.98	3.11	1.22	0.0	0.61	4.7	3.14	12.09	0.66	4.13	11.21	12.55	5.06	5.68	0.0	10.47	0.0
SLCO1A2	0.0	0.24	5.11	0.0	1.16	0.0	8.19	1.95	0.0	0.0	0.0	3.29	3.99	19.97	1.19	88.88	21.16	81.14	43.63	133.36	0.0	0.0	0.0
SLITRK2	1.31	0.61	2.71	0.31	0.32	0.64	1.08	2.12	0.0	0.0	1.53	1.28	1.43	6.89	3.29	17.77	8.32	31.67	2.92	9.48	0.0	6.31	0.0
SPG20	426.57	154.42	921.88	503.95	684.02	1175.27	825.0	947.83	490.14	665.29	435.55	543.96	486.75	785.88	638.15	947.83	1225.22	1417.35	1397.83	1059.11	53.57	281.09	0.0
SPHKAP	0.0	0.0	0.25	0.8	0.23	0.0	3.26	3.82	0.0	0.0	0.22	0.82	1.57	9.63	0.0	63.45	44.25	14.03	18.84	34.26	3.99	0.27	0.0
STON1	53.57	22.43	98.04	51.35	40.64	27.84	155.5	149.12	35.25	7.0	90.77	57.08	74.06	118.43	28.45	220.32	211.31	409.15	142.01	177.53	35.25	83.45	0.0
SYNE2	329.84	343.89	961.07	438.59	579.04	490.14	878.17	995.0	400.71	221.86	420.68	819.3	854.13	1088.92	684.02	1721.16	1437.15	947.83	1183.45	988.12	1806.78	1268.46	248.0
SYNM	84.63	49.56	480.04	114.36	71.5	36.53	878.17	934.76	102.25	18.43	162.14	327.56	325.29	2915.45	172.65	3168.41	4388.98	3665.02	8479.89	4358.66	19.68	73.54	0.0
TACR1	2.66	1.85	41.52	3.72	5.36	2.25	55.49	49.21	0.35	1.16	1.89	20.56	35.0	70.51	2.66	218.79	172.65	356.05	170.25	215.77	16.15	19.39	0.0
TCF21	0.73	0.68	0.0	0.37	0.72	0.37	2.39	1.93	0.0	0.33	2.03	1.39	0.4	0.41	0.0	0.79	2.41	3.72	0.77	3.14	1.48	4.94	0.0
TCF7L2	185.11	109.66	371.22	348.71	336.79	218.79	518.15	457.25	110.43	98.04	134.3	356.05	323.03	420.68	323.03	708.18	743.43	967.76	1697.45	967.76	54.72	84.63	0.0
TMEM132B	0.64	0.88	0.99	3.0	4.94	2.14	12.27	5.77	0.89	0.0	1.79	0.61	4.13	3.89	0.31	7.34	1.85	12.45	4.31	7.34	13.83	57.89	0.0
TMEM14E	0.38	0.0	0.73	0.36	0.69	0.0	0.0	0.39	0.0	0.0	0.0	0.0	1.13	4.13	0.0	1.58	0.82	2.03	0.64	1.87	1.75	2.66	0.0
TMEM255A	27.44	4.06	22.26	11.04	21.78	9.41	73.54	62.12	12.64	1.33	12.74	80.01	59.55	71.0	13.52	206.94	228.13	106.63	164.42	248.0	24.28	127.89	0.0
TNFAIP3	241.19	100.83	612.11	130.6	211.31	157.68	679.29	607.87	144.01	37.32	435.55	733.19	764.36	1051.79	236.21	1769.57	543.96	511.0	289.02	669.92	126.12	647.07	0.0
TRABD2B	1.43	10.79	78.34	26.67	35.0	120.94	106.63	90.14	6.62	4.9	12.74	51.71	33.54	145.02	10.31	150.17	151.22	69.52	175.07	47.5	3.56	20.41	0.0
TRIM67	0.66	0.31	2.01	0.62	0.65	1.25	0.73	1.06	0.32	0.29	0.92	0.65	1.06	2.51	0.34	0.39	1.13	2.29	0.99	1.04	0.0	2.51	0.0
TRPC5	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.38	0.0	0.77	0.83	0.39	0.0	0.0	0.0
TSHZ2	15.8	7.57	92.7	28.24	16.03	11.55	127.89	153.34	10.96	1.19	17.13	50.63	78.89	242.88	9.48	256.78	273.37	285.03	884.29	249.73	7.11	28.45	0.0
TSLP	0.96	0.29	5.45	2.68	1.23	0.0	19.39	10.55	0.0	0.0	3.23	8.99	15.8	32.59	1.27	51.35	94.01	68.07	98.73	11.64	119.26	57.08	0.0
TSPAN11	2.61	12.64	66.18	20.71	6.57	9.56	77.25	87.65	13.12	2.2	30.56	40.64	108.14	126.12	9.27	130.6	148.09	150.17	387.02	251.48	52.08	153.34	0.0
USP44	2.07	0.68	2.14	1.64	2.66	0.0	9.85	7.82	1.0	0.0	1.0	3.63	10.31	19.53	0.39	28.65	40.93	41.81	24.28	22.59	0.0	8.25	0.0
VGLL4	896.64	830.75	1529.73	1111.82	921.88	1277.29	1407.55	1697.45	878.17	607.87	1059.11	1508.65	1216.75	1508.65	909.17	1407.55	1819.35	995.0	1977.24	1143.1	753.83	802.41	0.0
WDFY2	92.7	50.63	267.73	107.38	96.01	82.29	150.17	158.79	74.58	98.04	68.07	114.36	169.07	231.32	182.55	206.94	149.12	281.09	256.78	239.52	397.93	253.23	0.0
WNT2B	5.36	5.28	19.53	14.35	19.39	6.78	25.91	29.48	6.62	3.41	10.16	31.0	23.25	16.75	15.22	33.3	22.43	68.55	27.05	38.95	103.69	323.03	21.47
ZC3H12B	3.96	1.85	7.11	4.66	4.46	1.62	13.22	11.47	3.08	0.31	6.46	7.63	12.64	14.35	2.32	18.97	21.16	25.91	25.35	23.42	0.64	2.32	0.0
ZMAT3	122.64	39.79	127.89	144.01	103.69	51.35	253.23	277.2	87.03	42.71	100.83	100.83	212.78	327.56	94.67	287.01	221.86	723.08	497.0	159.9	20.86	52.08	81.14
ZNF727	1.57	0.27	1.95	0.0	1.83	1.81	2.43	12.0	3.82	0.0	3.26	3.06	14.78	19.53	0.28	17.64	2.16	19.53	16.63	13.83	0.0	5.06	0.0
