	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.11DYG.1926.SM.5H12I	GTEX.139UW.1126.SM.5IJEJ	GTEX.147F4.0926.SM.5Q5EO	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11P82.1126.SM.5BC5K	GTEX.144GM.0826.SM.5O98R	GTEX.11WQK.2726.SM.5EQMU	GTEX.13FXS.2826.SM.5LZYC	GTEX.14ABY.0726.SM.5Q5DF	GTEX.XMK1.1026.SM.4B65H	GTEX.ZUA1.2826.SM.59HLE	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.14E6E.1126.SM.5S2R4	GTEX.Y9LG.1826.SM.4VBQC	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.ZVZP.1726.SM.5GZWY	GTEX.12WSH.0226.SM.5GCOG	GTEX.14A5H.0726.SM.5Q5DW	GTEX.1212Z.0426.SM.5FQT6	GTEX.13112.0326.SM.5P9IW
LELP1	68.07	98.04	68.55	33.06	14.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	12.09	5.28	0.65	4.82	0.0	1.13	0.36	0.59	12.09	3.29	11.73	21.47	17.77	11.13	19.53	7.69	53.19	55.1
LOXHD1	10.39	3.08	5.92	3.76	23.08	0.37	0.0	0.0	0.83	0.0	1.93	0.38	1.77	1.2	0.0	0.0	0.0	1.53	0.34	1.64	0.0	0.34	1.11	0.8	0.31	0.32	0.29	8.45	3.53	0.54	1.97	0.0	0.53	0.8	2.32	6.89	0.56	14.56	15.8	14.89	3.69	9.85	6.84	9.13	8.99
LYPD4	29.7	17.64	10.0	10.39	10.39	0.0	1.23	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	13.93	1.87	0.0	0.0	0.0	0.0	0.01	0.61	10.88	1.38	5.19	21.01	19.11	14.56	4.58	2.68	15.8	16.88
LYZL1	6.84	6.31	3.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	4.03	0.69	0.0	0.0	0.0	1.01	0.0	5.19	0.73	0.0	2.27	4.1	2.48	3.2	1.06	9.13	7.75
LYZL4	1.87	6.46	6.78	1.87	2.23	0.0	1.3	0.65	1.11	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.66	0.0	1.31	0.0	3.82	1.31	1.71	0.0	0.0	0.0	0.0	18.03	2.29	0.0	3.56	3.63	3.2	0.0	3.2	3.69	0.0	4.43	0.0	9.63	4.74	1.2	0.0	6.16	7.51
LYZL6	13.62	3.35	4.74	1.23	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	0.0	0.52	0.0	0.0	0.0	0.0	2.76	0.4	3.38	8.19	2.03	10.88	1.35	0.78	3.89	5.73
MROH2B	31.22	7.75	3.26	1.19	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.13	0.0	0.0	3.56	1.62	0.82	0.42	0.13	0.39	0.13	0.0	2.97	1.23	2.34	0.74	5.19	1.81	2.61	0.6	8.19	3.99
MS4A5	7.75	3.79	3.63	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28	1.08	0.0	1.3	0.0	0.75	0.48	0.93	1.16	1.41	2.66	0.0	5.5	3.35	7.34	2.53	9.56	9.27
MSMB	6.94	0.0	7.0	2209.26	18.43	800198.39	894051.48	783730.52	1019901.63	811368.76	778316.89	691801.16	706337.4	845824.19	1212874.47	778316.89	1264380.15	1308968.45	1139523.1	636586.81	1171559.48	919186.72	958220.73	919186.72	499455.67	716197.51	309589.14	271387.49	72213.45	1645391.11	212926.09	894051.48	619179.28	762299.34	654483.73	40341.14	187950.38	159.9	5292.48	3235.01	1963.57	5.19	55.1	9.41	13.62
NLRP4	7.69	1.93	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.34	1.06	1.0	0.37	0.0	0.32	0.33	0.0	0.0	0.0	0.0	7.17	0.71	0.0	0.41	5.11	0.0	0.0	0.95	4.35	0.39	5.45	13.42	4.58	8.19	0.0	2.78	18.43	17.38
ODF1	50.63	51.71	29.91	15.56	20.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	9.13	3.5	0.87	3.14	0.0	0.0	1.89	0.34	6.78	1.36	13.42	27.44	15.8	13.32	16.75	5.63	44.57	55.89
PDHA2	2.2	17.77	1.14	0.67	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.41	0.19	0.0	0.58	0.0	0.0	0.64	0.0	1.75	0.0	3.41	1.55	3.92	0.65	3.44	1.97	6.26	6.06
PGK2	0.74	13.12	14.67	3.82	4.62	0.0	0.0	3.38	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.16	1.03	18.56	6.41	0.13	6.94	0.0	0.75	0.65	0.29	13.22	3.29	8.45	1.14	8.92	4.98	5.41	2.63	15.45	16.27
PRM1	76330.98	400.71	441.64	202.66	18.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.46	0.23	5.59	22.1	11.91	1.35	6.84	0.52	2.46	3.23	2.61	17.38	6.89	0.0	48.52	35.5	37.05	67.59	39.79	178.77	199.85
PRM2	9808.75	356.05	363.56	185.11	15.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13	0.0	0.0	0.0	0.0	0.0	1.08	0.0	5.68	23.42	11.91	1.57	7.63	1.08	2.51	3.35	2.05	18.97	7.28	66.18	87.03	35.5	37.32	59.97	36.53	169.07	177.53
PRM3	9.93	0.0	0.0	0.0	5.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51	5.06	0.0	2.81	0.0	0.0	2.51	0.0	4.46	0.0	14.78	0.0	9.34	27.84	0.0	3.35	9.13	10.39
PRPS1L1	16.27	9.48	2.78	1.77	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	1.3	0.0	0.54	0.0	0.0	0.0	0.0	2.1	0.0	4.98	8.25	8.65	0.0	0.0	0.88	7.82	6.84
PRSS54	21.63	4.66	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.88	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.92	8.25	2.84	0.65	0.0	0.0	0.65	0.0	1.04	5.15	0.0	2.71	6.11	6.46	0.0	3.41	0.0	8.06	10.31
PRSS58	3.08	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	2.41	0.0	0.0	0.54	0.0	0.0	0.0	0.84	2.2	0.0	1.08	1.55	1.87	0.0	0.0	1.48	4.43	5.87
PSMA8	10.63	5.59	0.0	0.65	1.91	0.0	0.0	0.37	0.8	0.75	1.46	0.0	0.0	0.0	0.0	0.0	1.11	0.0	2.48	0.0	0.72	0.0	0.0	0.0	1.83	0.0	1.2	6.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	0.52	1.07	8.13	3.79	3.26	9.93	1.48	8.99	4.7
RAD21L1	1.55	7.22	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	5.23	0.0	1.55	1.01	0.0	0.0	0.0	0.0	3.66	1.3	1.62	0.37	5.41	1.38	2.16	6.06	3.63	2.32
RNASE11	30.12	6.21	4.17	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	10.55	2.73	0.0	3.99	0.0	1.55	1.75	0.0	9.48	1.48	12.83	0.97	1.41	1.69	31.67	23.42	110.43	145.02
RNF151	42.71	22.1	13.72	6.41	8.58	1.89	0.0	3.29	0.0	1.48	0.0	0.0	0.0	0.0	3.32	3.0	0.0	0.0	2.86	0.0	0.0	1.93	0.0	0.0	0.53	0.55	1.79	13.83	0.96	0.8	5.11	0.84	2.23	1.83	3.38	13.72	1.57	5.92	3.76	13.03	3.03	11.3	2.36	27.44	32.82
RP1-139D8.6	26.67	8.71	18.84	0.88	32.59	0.0	0.0	0.0	4.54	0.0	0.0	2.03	0.0	7.57	0.0	0.0	4.62	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	1.91	20.41	2.18	0.0	2.78	2.78	2.36	0.0	0.0	10.08	0.0	14.14	24.81	29.7	8.65	14.78	7.88	40.07	37.05
RP11-147C23.1	9.56	4.7	4.5	1.33	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	2.34	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.54	7.82	5.96	5.5	3.38	1.14	0.0	5.68	5.11
RPL10L	5.36	9.34	20.86	5.92	36.01	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	14.35	4.1	0.0	3.2	0.0	1.43	1.69	0.0	11.55	1.71	4.54	0.95	3.86	14.45	3.99	0.0	7.82	10.24
SHCBP1L	47.84	16.03	8.51	2.36	9.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	4.66	1.89	0.71	0.95	0.0	0.0	0.0	0.61	4.03	0.74	8.71	22.26	5.77	7.51	4.17	3.53	20.26	18.56
SLC26A8	15.0	8.0	5.36	2.51	7.94	4.62	0.83	0.84	0.52	2.03	2.36	0.87	0.54	0.49	2.73	0.85	0.0	0.0	0.83	2.58	1.58	1.93	1.99	1.45	2.12	1.51	1.11	18.16	5.15	2.56	1.3	1.41	0.0	4.98	0.1	7.28	3.35	28.65	20.11	10.47	1.97	8.85	10.31	22.92	27.84
SMCP	26.67	84.04	89.51	29.91	105.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	10.79	5.28	0.17	3.82	0.0	0.35	1.41	0.35	9.13	3.0	13.72	19.97	15.0	12.0	15.56	9.13	41.81	38.95
SOX30	19.25	11.55	22.75	5.32	8.32	2.2	2.46	4.78	1.03	6.01	5.19	4.62	2.2	3.41	4.5	6.26	3.59	5.32	11.04	3.53	5.45	10.16	3.89	3.69	9.13	0.74	2.27	50.63	11.38	5.45	9.93	4.46	6.16	5.32	2.66	37.59	3.69	3.72	6.31	46.84	41.81	13.62	4.5	40.36	38.12
SPACA1	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	2.32	1.35	0.0	0.54	0.0	0.0	0.0	0.0	2.01	0.0	3.96	0.0	3.14	3.79	3.08	2.03	6.26	4.7
SPACA7	17.13	3.14	7.46	2.18	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	3.66	0.8	0.0	0.96	0.0	0.0	1.03	0.0	2.89	0.97	6.41	3.06	7.11	2.03	5.41	0.0	10.55	6.67
SPAM1	2.97	3.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.41	0.0	0.37	0.0	0.0	0.0	0.0	0.0	5.68	0.0	1.04	0.93	0.68	0.0	0.0	0.0	1.81	1.08	3.79	1.5	2.84	3.11	0.36	0.0	2.1	1.89
SPANXB1	2.58	129.69	9.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	2.23	1.91	0.0	0.0	0.0	0.75	0.0	0.0	2.48	0.0	1.04	4.98	17.13	4.78	4.9	3.66	10.71	14.35
SPANXB2	2.58	129.69	9.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	2.23	1.91	0.0	0.0	0.0	0.75	0.0	0.0	2.48	0.0	1.04	4.98	17.13	4.78	4.9	3.66	10.71	14.35
SPATA12	10.39	6.36	7.11	2.56	3.41	0.0	0.34	1.45	0.39	0.0	1.08	0.0	0.4	0.75	0.72	1.1	0.0	1.11	1.41	0.78	0.34	1.41	0.0	0.85	0.6	3.44	1.25	7.57	1.33	1.28	1.66	2.23	1.04	2.46	1.03	4.1	1.58	9.85	16.63	9.63	7.11	4.35	1.91	21.63	11.13
SPATA16	0.0	0.0	0.0	0.0	6.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	3.14	1.31	0.0	0.0	0.37	0.0	0.0	0.0	2.56	0.1	2.81	1.57	6.52	0.45	2.56	0.77	6.31	6.52
SPATA19	4.58	15.68	10.96	4.66	17.51	0.0	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	5.68	3.0	0.0	2.25	0.0	1.16	0.77	1.16	5.82	2.29	0.0	0.0	6.36	5.36	19.25	2.2	54.72	69.52
SPATA8	2.68	38.95	28.24	21.32	15.56	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	4.21	0.0	1.11	0.0	0.09	0.0	0.75	14.24	3.2	0.0	4.5	1.0	2.12	1.27	0.84	7.94	0.53	23.08	4.31	10.47	5.11	6.41	2.46	39.22	30.12
SPEM1	5.41	4.21	6.73	2.73	1.53	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	6.89	0.4	0.27	0.55	0.72	0.0	0.0	0.0	5.54	1.0	5.45	1.08	3.53	0.0	1.89	2.76	9.27	10.96
SPERT	1.89	15.56	8.25	6.62	587.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.58	0.0	0.52	0.0	0.0	0.39	0.0	0.87	6.89	1.85	0.78	1.41	0.0	0.35	0.0	1.35	5.77	2.66	15.56	1.69	69.52	178.77	15.11	8.0	24.63	58.71
SPPL2C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	2.2	0.45	0.0	0.47	0.55	0.0	0.55	0.21	2.12	0.35	5.11	2.43	4.66	4.06	3.23	0.34	5.11	6.01
SPZ1	5.02	3.44	3.92	0.44	13.12	0.38	0.0	0.72	1.19	0.39	1.08	0.0	2.86	0.78	0.0	1.81	0.0	0.0	1.06	0.41	0.38	0.0	0.74	0.48	1.41	0.0	0.43	16.75	6.26	0.0	4.06	1.68	0.0	0.0	0.0	7.82	1.08	2.68	4.24	9.56	6.52	3.35	2.84	4.46	6.84
SUN5	28.86	0.91	7.4	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	1.66	0.0	0.68	3.86	6.52	6.52	3.32	0.0	3.26	6.01
TBC1D21	1.14	6.26	1.31	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.51	3.96	0.78	0.0	1.17	0.0	0.0	0.71	0.0	3.06	0.0	0.0	0.0	5.19	1.23	2.97	0.0	5.5	7.88
TEX19	7.0	7.88	1.91	1.22	1.66	0.0	0.0	0.37	0.0	0.38	0.0	0.38	0.0	0.0	0.0	0.71	0.0	0.0	0.35	0.39	0.0	0.35	1.03	0.0	0.0	0.0	0.6	8.13	0.0	0.61	2.48	0.0	0.0	0.66	0.0	0.66	0.27	4.9	2.71	5.23	9.56	3.76	1.93	4.62	4.46
TEX35	1.35	22.75	34.51	9.56	3.82	0.93	0.0	1.95	2.2	0.97	0.95	0.97	1.5	0.0	6.26	3.06	2.71	1.3	3.92	1.03	1.25	2.92	3.72	0.0	4.31	0.0	2.58	43.02	11.04	5.15	10.55	1.08	5.63	4.82	2.29	38.12	5.41	22.1	2.73	46.18	19.25	9.41	2.41	32.36	26.28
TEX37	8.78	7.06	9.85	4.66	13.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	0.0	0.0	1.87	0.0	0.0	0.0	0.0	3.2	1.69	1.35	1.48	6.52	1.68	5.15	2.32	12.74	11.64
TEX38	30.12	27.64	55.1	15.45	21.63	2.14	3.2	1.0	6.84	1.83	2.94	4.62	10.63	0.0	1.77	3.44	7.22	11.73	0.66	6.94	4.17	0.0	5.87	1.85	5.15	1.45	4.94	50.98	15.91	3.23	12.74	7.34	2.68	3.92	6.41	41.81	10.47	11.55	6.36	27.84	25.17	42.11	13.93	77.79	98.73
TEX40	43.02	59.97	128.79	36.79	79.45	5.32	13.12	19.11	30.78	7.94	5.41	15.22	24.46	0.0	11.55	6.78	10.88	3.32	1.31	7.82	10.96	3.14	9.13	0.0	8.71	3.92	11.04	100.83	25.17	6.52	23.25	5.82	5.73	6.21	13.12	81.14	7.0	23.93	9.85	88.88	71.0	189.02	100.13	1757.34	1259.69
TMCO2	17.77	4.06	17.13	3.82	24.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	0.0	0.0	0.0	2.18	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.95	0.0	1.77	9.78	3.96	0.0	2.73	1.43	1.2	1.6	0.78	5.23	1.83	1.81	7.63	17.13	3.2	9.34	7.88	23.08	27.44
TMCO5A	7.94	25.17	7.69	5.63	15.45	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.53	0.6	0.0	0.0	1.83	13.42	1.2	0.0	3.56	0.21	0.0	0.0	0.0	6.73	2.86	13.03	19.97	14.56	7.17	5.19	2.2	11.73	13.42
TMEM239	27.25	23.08	9.41	1.91	0.73	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	5.96	1.77	0.0	1.6	0.0	0.0	0.0	0.0	5.96	2.89	5.19	8.38	13.93	4.43	7.63	3.66	13.72	12.83
TNP1	0.0	255.0	226.54	100.13	19.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	5.54	17.64	8.58	0.88	6.62	1.0	2.29	3.11	1.89	13.22	4.86	0.0	0.0	23.25	20.56	147.06	96.68	426.57	406.31
TNP2	11.91	10.08	6.36	4.17	1.35	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	5.59	0.0	0.0	0.92	0.0	1.08	0.0	0.0	5.32	1.75	6.67	5.87	1.6	0.0	2.36	1.33	9.93	13.62
TPD52L3	54.33	11.04	14.03	2.32	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.47	5.28	2.25	0.13	1.39	0.0	0.0	0.43	0.0	4.28	1.6	10.39	9.63	15.34	6.16	6.41	3.23	11.13	11.38
TPPP2	26.1	32.13	17.9	16.75	10.08	1.71	0.49	2.12	3.29	2.2	1.73	2.18	4.94	0.0	1.73	4.1	7.88	4.13	4.31	0.0	3.59	1.97	4.06	2.32	4.62	0.0	8.25	80.57	24.11	2.81	36.27	2.78	5.02	3.47	3.69	51.71	8.19	32.59	2.66	24.63	6.89	25.17	16.15	71.5	62.12
TRIM42	6.84	2.76	3.72	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.47	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	4.03	0.92	0.29	1.71	0.31	0.0	0.0	0.0	1.39	0.16	4.1	3.72	3.63	0.0	0.47	0.34	2.63	4.54
TSACC	60.39	108.14	84.63	45.85	71.0	52.45	49.21	44.25	28.45	5.82	32.13	26.47	49.91	11.82	23.08	27.64	18.56	40.64	23.42	2.43	15.56	20.71	7.57	19.97	21.47	20.11	23.59	177.53	57.89	21.32	42.41	0.0	8.25	25.17	26.28	145.02	35.0	47.5	12.83	115.16	82.29	84.04	51.71	414.87	395.18
TSPAN16	12.09	21.32	8.78	6.01	1.57	0.0	0.0	1.01	0.0	0.0	1.03	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.88	8.92	3.96	0.39	1.08	0.0	0.71	2.23	0.0	7.46	2.41	4.86	19.39	11.47	14.03	9.78	3.92	24.63	20.86
TUBA3C	1.1	149.12	87.65	33.78	178.77	0.78	0.0	1.17	0.87	0.0	0.0	0.0	0.0	1.71	5.15	0.0	0.0	0.0	1.07	3.06	1.5	2.27	0.0	0.0	0.83	0.0	2.16	34.02	10.39	0.97	6.46	0.0	1.51	0.59	1.51	19.11	1.41	11.47	16.51	19.53	7.34	7.46	3.92	16.75	18.56
TXNDC2	19.11	12.45	15.45	5.41	11.91	0.0	0.0	0.87	0.48	4.03	0.0	0.44	0.0	0.0	0.0	0.79	1.71	0.8	0.0	3.5	0.78	0.77	0.0	0.46	0.65	1.71	2.81	10.63	3.06	0.92	3.41	2.01	0.43	0.45	0.6	7.06	0.0	6.78	19.68	19.11	8.58	9.85	4.39	22.92	17.25
UBL4B	23.42	8.32	6.26	1.13	2.61	0.0	0.48	0.0	2.94	0.0	0.0	0.0	1.55	0.0	0.0	0.0	1.79	0.0	1.28	1.45	0.47	2.14	0.48	0.0	0.0	0.37	3.38	12.0	3.99	1.31	1.6	1.1	1.43	0.82	1.77	9.41	2.27	12.09	15.45	10.24	2.89	7.63	3.72	15.11	17.13
UBQLN3	0.0	13.93	12.09	6.06	2.71	0.0	2.61	0.82	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.07	7.4	2.53	0.26	1.57	0.36	0.0	1.43	0.25	4.03	1.0	11.64	1.46	7.46	2.92	5.73	3.63	15.91	18.16
ZNRF4	38.95	12.0	10.08	3.72	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	5.54	0.95	0.37	0.99	0.0	0.0	0.17	0.36	4.24	0.88	6.73	14.78	20.41	1.68	3.35	1.28	8.51	8.06
