	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.85.7697.01A.11R.2125.07	TCGA.21.5782.01A.01R.1635.07	TCGA.85.8350.01A.11R.2296.07	TCGA.56.8083.01A.11R.2247.07	TCGA.66.2790.01A.01R.0980.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8296.01A.11R.2343.13
TBX20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.24	0.0	0.0	0.38	2.29	19.53	13.72	4.58	0.0	2.76	37.85	4.35
TCEAL5	0.0	0.0	0.93	30.78	0.0	0.0	0.0	0.83	0.99	0.0	1.03	31.9	0.67	0.0	12.36	4.06	33.78	307.69	0.82	4.24	6.31	21.78	3.41
TCF24	0.0	7.22	2.81	4.17	3.44	5.54	1.48	2.16	11.21	0.75	6.16	36.53	5.45	0.0	7.82	9.93	14.35	38.4	19.25	10.0	13.72	23.93	14.45
TKTL1	0.39	0.0	0.39	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	3794.3	0.0	0.0	13.12	591.22	13.83	15.8	1216.75	563.18	19.11	473.41	17.64
TLX1	0.0	0.0	1.69	2.61	0.89	0.0	1.27	1.51	0.0	0.79	0.84	256.78	4.5	0.0	65.72	13.52	67.12	251.48	171.45	120.1	14.89	18.03	1.31
TLX1NB	0.0	0.6	0.0	4.94	1.1	0.52	1.35	0.0	1.81	1.73	1.0	16.03	0.64	0.0	2.84	8.0	2.05	10.55	11.73	0.47	8.65	1.48	3.08
TMEM178B	17.77	0.49	0.0	4.54	0.48	13.93	1.85	0.67	2.68	0.41	0.44	118.43	5.06	0.0	20.26	10.39	17.77	10.71	65.72	85.82	6.67	40.64	11.82
TMEM179	0.0	0.0	0.0	10.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.53	0.0	0.0	0.0	11.91	98.04	88.26	241.19	61.25	18.29	7.22	0.0
TRIM43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.26	0.0	0.0	0.0	7.34	3.17	21.47	10.08	0.0	3.14	2.94	3.0
TRIM49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.25	0.0	0.0	3.72	6.89	1.55	9.41	5.41	0.0	3.5	0.35	6.16
TRIM49B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.75	0.0	0.0	1.73	4.03	0.62	0.85	0.0	0.32	2.27	0.0	2.46
TRIM49C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.81	0.0	0.0	1.77	2.46	2.07	16.39	0.91	0.88	1.69	0.0	2.94
TRPM3	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.42	0.0	27.64	0.0	1.16	5.77	23.08	5.54	7.11	5.92	18.03	20.86	4.54	12.09
TRPV5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	6.57	0.0	0.0	1.13	0.97	4.78	0.68	1.75
TSPYL5	4.17	14.03	9.06	7.88	5.28	5.54	26.67	3.47	10.47	5.96	8.78	1594.73	18.84	0.0	218.79	287.01	497.0	460.44	44.89	447.82	40.36	518.15	77.79
UCN3	0.0	0.0	1.08	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	18.97	0.0	0.0	10.39	5.63	5.96	26.86	11.73	23.08	15.45	5.5	3.99
UGT8	60.82	1.3	3.56	21.16	0.0	6.01	5.73	0.61	1.14	54.72	23.25	514.56	1.91	0.0	108.9	77.25	89.51	305.55	79.45	373.81	540.19	237.86	595.34
URI1	1044.52	921.88	1023.0	780.44	684.02	947.83	854.13	967.76	890.44	547.75	769.69	5555.65	902.89	934.76	1259.69	967.76	1417.35	2240.11	1628.26	7537.18	1508.65	988.12	1259.69
VAX1	0.0	4.21	7.0	7.75	2.34	0.44	3.08	0.0	1.66	1.57	3.76	128.79	0.0	0.0	1.71	13.42	31.9	115.16	57.08	4.5	5.41	15.45	2.18
VWA5B2	11.21	1.68	0.58	10.63	0.0	0.58	0.59	3.96	2.73	2.58	1.07	45.21	3.82	0.0	4.98	29.48	32.36	94.01	92.05	2224.63	94.67	656.11	12.74
WNK3	68.07	0.64	0.54	0.92	0.62	0.0	1.35	0.0	0.56	0.0	0.0	24.81	0.66	0.0	14.35	14.45	15.22	43.02	23.93	15.34	6.16	32.36	27.25
WNT8B	1.77	0.0	0.0	0.0	0.0	0.46	0.0	0.0	1.3	0.84	0.0	5.19	0.58	0.0	2.84	4.78	3.89	34.75	12.27	18.16	20.11	31.9	6.16
XAGE5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.28	0.0	0.0	11.55	3.26	2.61	1.14	2.25	0.0	4.46	59.97	0.0
XKR7	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.38	0.0	0.0	5.54	0.0	0.0	0.0	6.67	1.53	3.53	4.39	84.04	5.19	16.75	3.06
ZBTB10	0.01	5.92	7.63	10.0	3.35	8.85	15.56	34.02	8.58	7.69	18.16	595.34	13.03	0.0	25.54	61.25	126.12	201.25	228.13	218.79	145.02	241.19	62.56
ZDHHC2	90.14	4.17	11.13	8.45	6.57	15.34	8.25	3.35	6.94	6.21	18.7	389.72	18.43	144.01	260.38	191.67	218.79	307.69	209.84	223.41	281.09	318.57	221.86
ZFHX4	7.82	9.63	0.96	8.19	8.19	8.99	2.58	0.0	1.01	24.81	55.89	212.78	4.24	0.0	28.45	19.68	33.54	135.24	44.89	72.01	28.24	78.34	15.45
ZFP3	34.26	4.74	10.47	19.68	2.73	2.27	21.63	3.41	18.97	2.71	2.51	134.3	19.68	0.0	52.08	36.79	56.28	34.26	47.5	71.5	44.57	98.73	42.11
ZIC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.13	0.0	0.0	1.89	5.15	7.06	69.03	2.66	8.51	6.94	1.66	7.11
ZNF439	525.39	21.78	8.32	9.13	17.13	4.17	12.27	7.28	9.27	5.02	5.06	341.51	8.06	0.0	98.04	81.71	60.82	66.65	21.94	143.01	23.59	88.26	122.64
ZNF536	0.19	0.0	0.0	3.11	0.0	0.85	0.0	0.0	0.91	0.0	0.52	132.44	2.1	0.0	10.88	29.48	11.55	813.63	20.11	26.86	7.57	7.17	33.54
ZNF641	61.68	46.18	88.88	111.21	43.63	29.48	54.33	49.91	76.17	78.34	124.37	417.77	56.28	0.0	171.45	204.07	381.68	327.56	320.8	409.15	171.45	579.04	155.5
ZNF711	77.79	41.81	6.16	45.85	154.42	115.16	7.11	1.28	48.52	20.41	7.28	318.57	16.03	0.0	84.04	51.71	43.63	141.02	66.18	242.88	36.79	187.71	113.56
