	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CJ.4882.01A.02R.1426.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.43.7658.01A.11R.2125.07	TCGA.21.5782.01A.01R.1635.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.CD.A489.01A.11R.A24K.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.MX.A663.01A.11R.A31P.31	TCGA.RD.A8N6.01A.11R.A36D.31	GTEX.14BMV.2226.SM.5RQHX	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A56S.01A.11R.A28V.07
PCDHB4	59.97	71.5	13.22	68.55	1.1	3.41	14.03	0.72	0.16	7.46	8.0	0.75	1.99	1.85	1.36	10.63	0.12	15.91	5.82	3.44	1.45	2.76	6.26	8.92	5.54	2.97	0.0	17.25	13.93	67.12	60.39	60.82	55.89	118.43	96.01	26.67	72.01
PCDHGC4	40.07	7.28	22.26	25.91	0.0	0.0	0.21	0.0	1.35	0.55	2.25	0.74	2.29	0.36	0.43	4.58	1.17	0.0	2.84	0.67	1.04	0.0	3.47	0.64	0.0	2.48	0.0	15.45	21.16	7.17	34.26	13.42	10.96	5.96	27.05	19.11	19.39
PHF21B	29.06	470.14	54.72	14.24	0.0	0.0	0.21	1.99	3.14	6.11	0.0	3.06	0.0	0.0	0.62	0.22	3.76	1.91	0.21	0.0	0.21	0.0	0.0	0.0	0.26	5.63	0.0	24.99	22.92	73.03	4.28	28.86	28.04	55.49	22.59	76.17	27.05
POU4F3	8.99	19.25	5.06	2.84	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	1.71	1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	9.56	0.0	1.3	0.0	2.58	3.06	0.0	1.99	3.14
PRDM16	60.82	72.01	2.86	17.9	1.81	2.89	9.2	5.87	0.97	7.0	8.19	6.16	7.17	10.71	1.33	14.03	12.45	10.55	2.66	1.6	2.01	24.81	4.9	5.32	3.17	0.92	0.0	14.45	24.28	118.43	84.63	23.25	145.02	185.11	88.88	19.68	11.82
PRPH	25.72	961.07	98.04	607.87	0.0	0.0	7.28	0.49	2.1	17.25	14.24	2.03	0.0	5.11	1.04	8.38	2.41	8.71	0.0	2.66	0.84	0.46	3.79	2.97	5.19	0.0	0.0	127.89	17.25	81.71	248.0	764.36	273.37	24.28	185.11	1096.5	108.14
PRSS27	147.06	73.03	521.76	97.36	5.68	4.74	0.0	14.24	4.78	11.04	4.78	6.84	11.3	13.22	0.09	0.87	9.41	8.13	1.57	3.26	9.78	8.0	22.1	5.5	10.0	9.93	0.0	32.59	136.19	17.0	45.21	20.86	20.56	27.05	46.5	40.64	29.91
PSD2	18.43	11.3	6.73	6.52	0.0	0.0	0.13	0.99	0.0	1.83	0.13	1.03	0.09	2.01	0.99	3.47	0.36	0.93	1.38	2.46	1.38	1.25	1.25	1.48	1.57	0.12	0.0	4.21	4.66	12.27	9.7	3.82	2.86	1.79	4.98	5.87	14.14
RASL12	53.57	295.11	102.25	476.71	6.06	0.88	7.28	6.06	12.74	22.92	12.27	14.89	2.53	1.77	9.85	38.95	12.93	35.76	19.97	13.52	9.2	10.39	21.78	13.03	6.06	13.22	0.0	48.18	175.07	178.77	616.37	236.21	253.23	88.88	860.08	279.14	185.11
RILPL1	307.69	180.02	476.71	438.59	85.82	68.07	68.55	74.58	42.41	165.57	108.14	105.89	59.97	69.52	124.37	133.36	87.65	170.25	80.01	68.55	90.77	115.97	88.26	126.12	189.02	88.26	0.0	136.19	224.97	105.15	281.09	423.61	223.41	146.03	332.14	356.05	285.03
RLN1	4.62	4.74	7.88	4.31	0.0	0.0	3.66	0.0	0.0	0.0	4.28	0.0	0.0	4.28	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	3.99	0.0	0.0	26.28	1.81	6.57	15.22	5.59	8.25	7.11	4.54	4.54	8.85
RP11-433C9.2	7.28	0.0	98.04	9.34	0.0	0.0	1.07	0.0	0.0	2.23	0.0	1.64	3.17	0.0	1.69	5.5	0.58	2.43	1.31	0.0	1.19	0.87	0.99	0.95	1.31	0.0	0.0	2.46	18.03	1.97	2.29	8.78	0.0	0.0	2.29	8.85	3.26
RSPH4A	28.24	75.11	16.27	8.0	2.34	2.71	3.32	6.16	7.22	5.59	2.78	2.23	1.36	2.86	4.78	5.92	8.13	4.35	7.46	3.69	3.53	8.06	7.4	4.31	3.63	9.63	0.0	8.32	24.11	29.91	10.88	11.13	57.49	14.14	6.89	11.55	37.85
RUNDC3A	147.06	1088.92	46.18	35.5	0.0	0.0	0.21	3.5	0.52	7.0	10.71	3.2	0.0	1.22	0.0	0.56	0.0	8.71	5.82	11.55	4.24	8.38	8.99	0.65	6.78	10.96	0.0	180.02	19.97	115.16	96.68	49.91	44.89	237.86	470.14	71.0	267.73
SCG3	79.45	995.0	1.89	4.43	0.45	0.58	0.0	0.84	0.0	1.01	0.0	0.14	0.79	0.0	0.0	3.06	0.0	4.82	0.92	0.0	0.91	0.0	2.63	0.75	0.0	0.14	0.0	40.07	5.15	94.67	16.27	27.84	26.1	55.89	3212.66	11.82	58.71
SCRT1	20.71	279.14	9.27	0.0	0.0	0.0	0.13	0.12	0.13	0.0	0.0	0.82	0.0	0.0	0.0	1.22	1.07	0.75	0.0	0.88	0.0	0.11	0.77	0.41	0.0	0.47	0.0	1.01	2.36	7.51	1.0	2.63	1.0	4.31	0.93	2.71	2.51
SEPT5	808.0	1674.06	273.37	909.17	7.57	42.71	35.0	29.48	19.68	34.26	39.22	57.89	18.97	32.82	36.79	82.29	2.63	76.17	27.44	68.55	64.34	53.57	122.64	31.22	35.76	12.74	0.0	1286.18	1340.84	902.89	237.86	353.59	483.38	293.07	2209.26	1685.71	785.88
SHISA8	5.02	77.25	5.68	0.0	0.0	0.0	2.16	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	2.05	2.68	0.0	7.75	0.0	21.32	3.32	2.25
SLC6A17	12.55	138.1	1.2	18.29	0.46	0.0	0.38	0.0	0.38	0.42	0.38	0.36	0.0	0.0	0.0	1.45	0.0	1.2	0.0	0.0	0.37	11.47	0.0	0.29	0.46	1.35	0.0	15.91	16.51	9.13	3.79	12.74	6.84	1.23	65.26	6.31	4.98
SLC8A2	36.01	1023.0	58.3	10.0	0.0	0.0	1.64	0.0	0.0	0.0	0.23	0.0	0.0	1.99	2.84	0.01	3.35	0.6	2.1	3.32	0.0	5.5	1.07	1.43	0.0	2.05	0.0	2.97	19.11	55.1	105.15	46.5	40.07	65.72	145.02	19.53	8.32
SRPK3	92.7	842.36	5.96	4.54	2.51	0.0	0.64	0.0	1.45	2.61	5.87	0.97	3.14	6.01	2.58	10.24	0.0	15.68	1.43	0.75	1.0	1.22	0.17	7.11	4.54	2.97	0.0	151.22	25.54	36.01	159.9	118.43	55.1	130.6	718.08	122.64	748.61
STMN3	387.02	3280.18	1037.29	1167.14	3.69	34.02	62.56	18.56	17.77	57.49	50.98	37.85	44.25	29.27	54.72	53.57	81.71	62.12	48.52	75.64	44.89	26.47	73.03	46.84	65.26	12.0	0.0	3190.46	312.0	1044.52	808.0	363.56	483.38	769.69	1806.78	1051.79	718.08
SYCP2	57.49	63.45	31.0	26.47	3.23	0.92	13.83	4.1	2.2	20.26	5.23	2.12	0.49	3.29	8.13	11.13	0.0	15.56	4.39	6.06	18.56	4.7	12.45	7.17	12.83	10.88	0.0	511.0	29.27	32.59	41.52	54.72	32.13	64.8	36.53	91.41	329.84
SYNGR3	103.69	205.5	64.34	26.47	0.0	1.28	1.79	6.21	1.79	2.73	20.11	5.54	0.96	3.82	1.58	0.68	3.38	3.38	0.0	5.68	0.0	0.49	11.21	0.0	0.0	2.34	0.0	56.28	56.68	73.54	66.18	82.87	193.01	181.28	55.1	71.5	12.74
SYT5	283.05	660.68	19.82	27.25	1.0	0.0	0.0	0.0	0.0	2.68	1.58	2.43	0.25	0.0	0.0	0.0	3.56	2.66	7.11	1.43	0.71	0.0	0.0	0.0	0.0	26.67	0.0	31.0	14.78	48.18	21.94	36.27	87.65	232.94	802.41	285.03	11.13
TBX1	139.07	120.1	87.65	20.41	0.0	0.84	10.88	1.36	0.0	10.16	1.14	16.51	2.61	0.36	6.06	25.35	0.0	2.89	5.59	11.3	9.41	8.65	18.84	11.91	14.24	0.0	0.0	332.14	438.59	532.74	9.41	47.84	32.36	43.02	129.69	303.44	241.19
TMEM179	256.78	264.03	6.73	81.71	0.0	8.06	4.35	0.0	4.35	27.84	0.0	22.59	0.0	0.0	21.78	24.28	4.43	0.0	8.19	11.64	0.0	10.63	33.54	63.89	12.45	5.63	0.0	414.87	11.91	61.25	25.54	37.85	12.83	23.76	9.85	70.01	37.85
TNNI3	514.56	819.3	253.23	16.15	0.0	0.0	1.51	1.07	12.36	0.31	9.06	0.0	3.06	0.0	0.0	3.53	0.74	69.52	0.11	0.59	17.25	13.93	1.53	0.07	8.06	4.1	0.0	177.53	74.58	197.09	6.36	21.32	463.65	258.57	11.55	1923.14	84.04
TRH	8.19	0.96	5.23	9.06	0.0	0.51	4.24	0.0	0.0	2.05	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.0	1.14	0.0	0.0	0.0	0.0	7.4	1.31	3.99	0.0	2.97	6.41	0.62	1.68	81.14	29.7
VGF	16.63	1991.0	7.57	6.62	0.0	0.6	0.82	3.08	0.0	5.82	0.0	0.0	0.0	0.0	0.0	0.0	41.52	0.0	0.8	0.0	1.55	0.0	0.0	1.33	1.79	1.51	18.43	16.39	4.13	371.22	62.12	204.07	175.07	90.77	242.88	29.27	15.11
WNT9A	75.11	291.04	82.87	60.82	0.0	3.38	173.85	0.58	0.01	4.62	10.79	1.33	12.36	1.1	2.94	8.25	77.79	1.19	21.16	26.1	9.2	54.33	5.92	18.03	4.9	2.16	0.0	37.85	149.12	32.82	183.82	182.55	98.04	82.87	156.59	115.97	157.68
XKR4	3.08	51.71	52.08	3.59	0.0	0.0	0.27	0.25	0.57	4.35	0.57	2.03	0.24	0.22	0.25	1.66	0.0	1.03	0.84	0.0	0.0	0.53	1.28	0.51	1.48	0.55	0.0	0.27	13.12	2.14	6.01	8.19	3.66	0.87	68.55	48.52	0.28
XYLT1	11.73	135.24	106.63	88.26	0.58	1.28	15.68	0.36	1.3	3.06	3.96	1.71	0.33	1.01	2.61	7.4	5.11	11.55	5.15	1.13	1.75	4.1	7.11	2.89	3.89	3.82	0.0	148.09	69.03	141.02	121.79	133.36	138.1	120.1	109.66	38.95	56.68
YJEFN3	381.68	476.71	94.01	74.58	37.32	30.56	50.63	31.0	38.95	49.56	29.48	24.81	31.0	45.85	55.89	94.67	16.88	60.82	55.1	40.64	28.65	50.63	29.48	42.71	48.87	33.06	0.0	85.82	63.89	190.34	92.7	47.84	95.34	60.82	105.89	241.19	117.6
ZNF536	57.49	106.63	17.9	10.71	0.0	0.0	2.89	0.0	0.13	0.0	0.13	3.41	1.01	0.95	0.0	2.97	0.53	3.11	2.27	0.02	1.68	1.03	2.07	0.0	0.0	0.0	0.0	1.85	29.48	26.86	12.09	27.44	9.41	3.23	236.21	595.34	56.28
ZNF610	37.59	29.7	17.64	45.85	4.35	1.13	5.06	2.78	5.06	22.92	7.28	5.59	0.53	0.48	4.7	28.24	2.07	5.15	8.78	5.28	8.78	3.96	8.85	4.39	13.72	15.22	0.0	105.15	52.45	85.22	40.36	49.21	32.36	24.99	115.16	157.68	125.24
