	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.50.5055.01A.01R.1628.07	TCGA.85.8355.01A.11R.2296.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.85.7710.11A.01R.2125.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3T7.01A.11R.A22L.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07
SLC2A6	463.65	129.69	12.55	12.36	299.25	164.42	591.22	500.46	55.49	108.14	15.0	49.56	115.97	38.12	93.35	38.4	26.47	47.5	22.26	441.64	77.25
SLC6A7	4.5	3.23	0.38	0.35	3.26	9.27	12.0	1.48	2.34	0.95	0.0	0.48	0.52	1.41	0.97	0.49	0.49	0.92	0.48	5.59	1.89
SLC7A3	2.48	55.89	3.86	16.75	3.23	6.11	10.79	4.66	0.36	2.97	0.0	0.0	1.95	0.0	3.76	0.83	0.0	0.0	0.0	8.71	0.36
SLC8A1	68.07	136.19	0.43	8.51	84.04	130.6	44.25	154.42	18.03	30.34	3.69	10.71	44.89	19.97	29.27	19.39	20.86	15.8	12.55	193.01	38.4
SMPD3	106.63	66.65	67.12	28.86	41.52	69.52	121.79	137.14	27.05	31.22	11.82	5.82	29.06	14.45	41.52	10.63	9.7	16.39	9.93	74.58	26.86
SNAP91	32.13	15.0	0.21	12.64	30.78	22.92	63.89	37.59	0.33	22.59	1.25	1.48	9.41	5.19	14.03	2.94	4.06	2.58	2.32	26.86	3.5
SNX20	961.07	450.94	37.05	59.13	414.87	262.2	780.44	612.11	58.3	105.15	8.19	31.9	152.28	17.13	137.14	13.32	37.59	20.71	12.45	285.03	140.04
SPN	928.3	587.13	74.06	218.79	376.41	356.05	665.29	1044.52	80.01	108.9	16.15	47.17	182.55	34.26	156.59	27.25	52.82	52.82	19.97	325.29	124.37
SRGN	11664.82	6337.83	111.99	514.56	8191.0	6381.92	7695.57	9088.59	1417.35	4358.66	1143.1	1313.23	2701.35	2061.24	2520.38	1233.75	718.08	1662.49	1183.45	5594.3	2664.15
STAR	63.0	28.65	98.04	51.71	18.7	47.17	64.34	25.72	0.0	45.53	2.48	1.79	14.24	2.48	33.06	3.72	0.0	1.22	0.69	77.79	1.27
STK17A	2400.97	1081.39	1159.07	638.15	1447.15	629.35	1685.71	1487.87	224.97	438.59	113.56	325.29	412.0	244.57	450.94	214.27	221.86	202.66	172.65	1417.35	325.29
SV2B	25.54	59.97	2.29	9.2	21.32	17.64	22.59	31.67	2.51	12.18	0.83	0.82	3.96	3.41	10.16	1.68	1.69	2.46	2.07	29.91	2.12
TESPA1	1151.06	348.71	7.94	11.13	283.05	198.47	620.67	420.68	26.47	80.01	1.68	11.91	94.67	8.71	88.26	5.92	9.41	13.12	3.59	190.34	77.25
TF	55.1	1159.07	0.0	11.55	140.04	293.07	105.15	167.9	15.68	86.43	8.19	5.19	105.89	5.82	73.54	8.58	5.32	8.38	3.26	146.03	10.0
TIFAB	94.67	66.18	10.16	15.22	22.75	38.95	58.3	63.0	1.93	6.94	0.0	0.04	7.46	0.0	12.83	0.05	0.72	0.47	0.04	27.05	6.62
TLR1	332.14	366.09	10.47	84.63	234.57	228.13	208.38	435.55	46.18	40.36	20.56	18.7	78.34	38.12	69.52	27.44	32.13	15.34	9.2	220.32	57.49
TLR6	212.78	148.09	15.56	18.97	75.11	98.04	171.45	249.73	15.56	31.9	4.21	4.78	33.78	9.06	34.51	7.11	4.94	9.34	7.63	117.6	22.92
TNF	100.83	109.66	80.57	41.52	154.42	38.4	211.31	262.2	15.0	10.79	0.16	4.35	5.77	0.59	20.56	0.8	2.29	1.38	1.6	37.05	9.41
TNFAIP3	2400.97	1769.57	126.12	647.07	854.13	1417.35	2935.74	1340.84	169.07	320.8	80.57	102.25	343.89	199.85	346.29	144.01	101.54	156.59	73.54	1051.79	249.73
TNFRSF13B	547.75	127.0	14.03	58.71	473.41	212.78	629.35	493.56	23.42	36.79	0.48	0.68	76.71	0.49	72.01	0.0	1.64	0.23	0.0	89.51	34.75
TNFRSF9	199.85	85.82	0.0	8.19	82.87	78.34	171.45	211.31	4.66	23.42	0.0	1.75	23.42	2.39	13.93	0.62	4.54	0.6	0.39	43.32	13.22
TOX2	579.04	260.38	15.91	323.03	271.48	444.72	890.44	384.34	126.12	381.68	136.19	117.6	303.44	236.21	281.09	170.25	78.34	320.8	237.86	616.37	209.84
TRAF5	1073.91	583.07	10.55	43.02	409.15	387.02	1407.55	947.83	75.11	204.07	41.81	43.02	178.77	42.41	190.34	81.14	57.49	29.7	87.65	334.46	131.51
TREML1	92.7	58.71	2.16	5.82	68.07	63.89	289.02	137.14	21.78	43.02	1.95	6.06	33.3	4.66	20.26	1.23	5.96	10.96	3.2	40.93	20.26
TVP23A	74.06	26.67	3.08	6.94	48.18	52.82	204.07	73.03	13.52	38.95	6.78	8.19	28.86	10.55	29.06	6.26	9.27	10.55	7.0	57.08	22.75
VIT	33.54	127.89	1.39	15.91	11.38	43.02	100.13	37.32	1.93	34.51	0.0	1.36	16.88	1.39	16.75	8.51	0.0	5.92	0.0	42.71	3.0
VWA3B	6.06	4.06	19.39	6.11	82.29	33.06	0.65	123.5	0.31	0.32	0.0	0.0	1.48	0.0	0.33	0.0	0.0	0.0	0.0	4.21	2.56
ZNF804A	8.13	13.62	1.39	2.86	6.57	7.94	19.11	11.91	1.2	2.16	0.0	0.23	2.76	1.48	2.25	1.45	0.49	1.64	1.17	8.99	1.69
