	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13RTK.0426.SM.5RQHT	GTEX.WH7G.1026.SM.4LVML	GTEX.ZQUD.0326.SM.4YCEN	GTEX.131XF.0926.SM.5BC69	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.ZVT2.1226.SM.5GU5H	GTEX.111CU.0626.SM.5EGHL	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.HU.8243.01A.11R.2343.13	TCGA.BR.8369.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8366.01A.11R.2343.13	TCGA.F1.6874.01A.11R.1884.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8363.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.HJ.7597.01A.21R.2203.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GN.11A.12R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31
NAT16	0.0	0.54	0.06	0.0	0.12	0.73	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	18.56	20.26	1.79	27.84	3.82	0.74	0.0	6.41	13.62	3.11	2.12	2.39	5.5	7.69	25.72	1.97	2.2	8.71	17.25	4.7	2.76	0.69	0.0	1.27	1.27
NKX2-6	0.0	0.0	2.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.83	0.0	1.71	3.53	0.0	4.66	1.04	1.11	1.43	0.82	0.0	0.56	0.0	2.89	0.0	0.85	3.32	0.79	0.0	0.72	0.0	0.0	0.0	0.0
NLRP7	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.78	688.78	0.39	8.38	3.06	0.0	0.0	8.51	4.06	4.24	5.92	0.99	3.66	0.84	9.13	6.31	6.57	7.57	9.13	2.58	7.88	0.0	2.25	0.0	1.41
NLRP8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	2.63	0.0	3.76	0.97	0.45	0.0	3.0	1.66	1.19	1.36	0.0	1.13	1.68	5.41	0.0	0.88	1.11	3.2	0.78	1.39	0.0	0.0	0.4	0.39
NOTO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82	4.5	0.0	7.51	2.76	0.0	0.0	3.86	3.38	0.31	0.91	0.0	2.16	0.0	4.98	0.0	1.57	2.71	4.03	0.87	1.6	0.0	0.85	0.0	0.0
NUTM1	0.0	0.0	0.0	0.49	0.08	1.36	0.0	0.57	0.0	0.61	0.0	0.55	0.0	0.0	8.45	8.25	0.54	16.39	8.0	0.6	0.0	10.55	5.92	3.66	4.58	0.0	2.73	3.79	11.82	0.0	3.99	6.16	6.31	3.79	6.06	0.0	0.0	0.0	0.0
NYX	0.0	0.0	0.0	0.0	0.24	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.64	0.0	2.25	0.96	0.0	0.0	2.68	4.82	0.0	2.84	0.0	1.13	3.17	6.62	0.0	0.59	2.12	8.45	0.0	3.56	0.0	0.0	0.0	0.0
OR10H3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	1.38	0.0	3.92	4.62	0.0	0.0	5.59	1.73	5.32	1.36	0.0	2.41	0.0	11.38	0.0	0.72	0.69	2.61	0.0	3.92	0.0	0.0	0.0	0.0
OR11A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	5.28	1.13	0.4	5.68	2.71	0.0	0.0	7.28	2.68	2.25	0.29	0.0	1.14	1.04	5.19	0.0	0.88	2.14	2.29	1.51	4.17	0.0	0.0	0.0	0.0
OR1K1	0.0	1.71	0.0	0.31	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.51	13.52	1.36	16.39	15.56	1.97	0.51	29.7	7.46	7.17	5.63	0.0	5.45	3.08	26.47	1.5	5.87	6.73	17.38	4.94	5.68	0.92	1.71	0.47	0.91
OR2B2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	6.46	0.0	4.28	1.06	0.0	0.0	8.65	4.86	2.41	3.03	0.0	0.35	2.14	7.57	0.0	1.25	3.79	3.44	2.27	1.77	0.0	0.0	0.0	0.0
OR2G6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.15	5.02	0.0	4.31	0.0	0.0	0.0	7.4	4.9	0.91	1.11	0.0	2.46	2.63	5.77	0.44	0.6	1.64	5.68	2.58	2.07	0.0	0.0	0.0	0.0
OR2T34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	0.57	0.0	3.38	0.0	0.0	0.0	4.35	4.5	0.0	3.17	0.0	0.87	3.59	4.35	0.0	0.0	0.0	0.55	0.0	5.32	0.0	0.0	0.0	0.0
OR2Y1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	1.77	0.0	6.89	0.69	0.0	0.0	3.96	3.47	0.65	4.17	0.0	0.32	0.0	5.77	0.0	0.93	2.32	4.03	1.25	2.94	0.0	0.0	0.0	0.0
OR4D11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	5.28	0.0	7.63	4.1	0.0	0.0	4.86	6.26	1.75	1.64	0.0	3.92	1.38	11.64	0.0	2.76	1.39	3.03	3.56	9.27	0.0	0.0	0.0	0.0
OR4D9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.71	4.98	0.0	8.38	2.53	0.0	0.0	3.76	4.31	2.07	1.69	0.0	2.27	0.0	9.7	0.0	0.62	1.95	2.63	0.0	10.16	0.0	0.0	0.0	0.0
OR52E6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	12.27	0.0	0.0	1.5	0.0	0.0	5.96	1.01	0.72	0.67	0.0	0.0	1.6	5.87	0.0	2.66	1.31	1.27	0.0	3.66	0.0	0.0	0.0	0.0
OR52R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	3.59	0.39	0.0	0.0	4.28	4.62	0.0	0.66	0.0	0.0	1.19	9.34	0.0	0.0	1.28	3.82	0.0	2.03	0.0	0.0	0.0	0.0
OR5AP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.89	6.62	0.0	5.02	2.34	0.0	0.0	4.58	2.1	2.41	1.06	0.0	2.1	3.89	8.78	0.0	3.79	4.5	3.96	1.45	10.16	0.0	0.0	0.0	0.0
OR5C1	0.0	0.0	0.0	0.23	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.73	11.13	0.0	16.63	10.79	0.0	2.34	31.9	6.01	3.66	3.69	1.2	2.25	2.36	17.13	2.51	3.59	6.31	12.55	4.66	11.91	1.95	0.38	0.0	0.39
OR6C68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	1.71	0.0	1.53	0.0	0.0	0.0	3.82	6.62	3.2	1.14	0.0	1.46	4.31	8.19	0.0	0.0	0.0	0.0	1.6	3.2	0.0	0.0	0.0	0.0
OR6N2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	1.85	0.0	2.89	0.72	0.0	0.0	0.8	5.68	0.0	0.0	0.0	0.0	0.0	3.96	0.0	0.0	0.62	1.19	0.0	2.73	0.0	0.0	0.0	0.0
OR6S1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.09	7.51	0.0	17.13	2.25	0.0	0.0	15.34	2.81	2.89	3.23	0.0	2.53	2.71	14.03	0.0	3.63	4.94	8.06	4.94	11.73	1.2	0.0	1.19	0.0
OR7C2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	4.24	0.0	5.96	0.69	0.0	0.0	5.59	4.31	3.69	2.23	0.0	0.91	4.24	7.75	0.0	0.64	0.0	3.82	0.0	0.75	0.0	0.0	0.0	0.82
OTUD6A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	2.97	0.0	8.58	3.89	0.0	0.0	5.77	3.76	2.05	0.6	0.0	2.23	0.0	12.64	0.0	1.48	3.66	5.77	0.0	5.15	0.0	0.0	0.0	0.0
PDE6A	0.87	1.6	0.04	1.69	0.06	4.39	0.0	0.45	1.27	1.27	1.23	0.43	1.2	1.2	9.41	9.2	0.68	15.91	8.58	4.17	1.07	15.8	6.84	7.06	5.96	2.48	5.63	3.66	16.75	3.06	8.99	6.01	10.24	6.21	10.47	2.61	0.71	2.23	2.89
POM121L7	0.0	0.0	1.53	6.16	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.58	0.0	0.0	16.15	14.89	0.0	17.51	5.87	2.78	0.83	11.73	16.39	2.86	13.93	1.41	4.43	8.32	19.53	2.78	7.06	17.13	19.25	5.41	11.82	0.83	0.0	0.0	1.39
PP13004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	8.45	0.0	4.54	3.44	0.0	0.0	7.88	3.72	2.51	1.69	0.0	0.72	1.28	9.27	0.0	3.11	2.68	4.13	0.51	5.11	0.0	0.0	0.99	0.0
PRAMEF20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02	2.56	0.0	6.94	0.0	0.0	0.0	4.86	0.0	0.0	3.82	0.0	3.38	2.78	6.21	0.0	0.0	5.11	4.43	0.0	7.11	0.0	0.0	0.0	0.0
PRAMEF22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88	5.87	0.0	7.69	3.17	0.0	0.0	11.3	3.89	0.0	4.28	0.0	1.19	1.43	5.06	0.0	0.0	1.99	4.9	1.22	8.92	0.0	0.0	0.0	0.0
PRAMEF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06	8.65	0.0	7.34	4.46	0.0	0.0	11.21	0.85	1.16	1.08	0.0	1.89	1.66	14.03	0.0	2.66	1.35	5.5	1.81	5.19	0.0	0.0	0.0	0.0
PRDM14	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23	3.56	0.0	4.7	1.85	0.0	0.0	6.11	2.66	3.5	1.62	0.0	2.16	1.04	6.57	0.0	1.43	2.84	3.41	1.48	4.35	0.0	0.0	0.0	0.39
PRSS38	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	273.37	0.0	4.35	0.34	0.0	0.84	2.2	2.86	0.93	0.87	0.41	1.75	1.08	4.54	0.45	1.2	0.88	3.47	0.41	3.59	0.42	0.0	1.66	0.0
PSMB11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.21	2.81	0.0	2.32	0.74	0.0	0.0	3.17	3.14	0.0	1.87	0.0	1.6	5.92	2.76	0.0	1.0	1.58	2.68	0.91	3.2	0.0	0.0	0.0	0.0
RBL1	0.0	0.89	0.48	0.59	1.57	0.91	0.0	0.0	0.0	0.0	1.43	2.63	0.0	0.0	5.68	8.58	1.27	20.71	5.41	0.0	0.88	12.93	5.11	4.46	1.77	0.44	4.58	4.17	21.63	0.48	7.82	4.21	9.41	3.03	7.0	1.2	0.0	0.79	1.17
RGPD4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	4.54	0.0	1.87	0.83	0.56	0.52	1.81	3.2	0.77	0.37	0.0	1.08	1.73	1.57	0.56	0.39	0.72	0.69	0.52	1.38	0.0	0.0	0.0	0.0
RP11-297M9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	0.0	0.0	1.57	3.29	0.0	1.95	0.0	0.0	0.0	4.1	5.15	0.87	0.0	0.0	0.0	0.0	5.06	0.0	0.0	1.83	2.23	1.1	3.47	0.0	0.0	0.0	0.0
RP11-382J12.1	3.89	2.03	0.68	4.46	1.53	1.77	0.54	0.0	2.53	9.7	0.0	5.36	6.67	5.73	26.28	14.03	2.68	29.7	27.05	6.89	10.88	63.89	28.65	17.9	22.92	4.5	10.55	31.0	33.3	15.22	10.39	17.77	16.15	10.71	21.01	0.71	0.24	5.73	7.06
RP11-404L6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	8.19	0.0	0.0	0.0	0.0	0.0	2.12	3.76	0.0	2.92	0.0	0.0	10.16	1.85	0.0	1.45	4.43	1.35	1.91	2.1	0.0	0.0	0.0	0.0
RP11-444E17.6	0.0	0.0	0.83	2.29	2.53	2.86	0.0	0.37	0.83	2.16	2.1	0.35	0.38	0.38	5.32	2.71	0.84	6.52	5.68	0.0	0.0	4.35	5.11	5.28	3.06	0.85	4.31	7.46	12.55	2.14	2.36	2.68	5.54	3.53	7.17	0.83	0.0	0.0	0.82
RP11-480I12.4	0.0	0.0	0.6	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.84	11.47	0.0	18.84	4.62	0.53	0.0	7.46	4.7	1.95	2.94	0.48	2.73	3.29	14.14	0.0	3.08	4.58	5.68	6.06	4.98	0.0	0.0	0.0	0.85
RSPH10B	0.44	2.78	1.85	2.81	4.17	3.59	1.87	5.23	1.22	0.0	5.54	3.59	1.53	3.06	33.06	24.46	4.24	29.48	14.14	3.03	6.84	49.56	13.03	13.52	15.0	5.77	15.68	10.63	42.41	8.38	15.34	8.71	23.42	14.35	12.09	6.67	8.71	6.62	2.18
RSPH10B2	0.87	0.0	0.0	3.44	2.63	1.93	2.1	1.73	4.28	3.86	0.0	1.99	3.26	0.29	23.08	33.54	2.78	64.34	17.51	4.74	0.0	33.54	12.93	8.65	7.75	2.32	7.22	5.19	44.57	4.17	10.63	5.32	42.71	2.73	14.14	1.22	0.0	1.22	0.68
RSPH6A	0.0	0.0	0.0	0.0	0.0	0.85	0.45	0.0	0.0	0.99	0.97	0.0	0.0	0.0	6.46	10.79	0.48	10.79	5.63	0.54	0.49	6.94	5.32	2.89	3.0	0.0	1.91	0.43	14.89	0.0	2.25	2.16	12.0	2.12	8.51	0.0	0.0	0.0	1.31
SAG	0.43	2.2	0.0	0.31	0.74	3.5	0.0	0.0	0.91	0.0	1.33	0.0	0.0	0.0	12.09	24.99	1.35	20.71	7.82	1.5	5.82	12.18	13.12	13.03	8.32	0.46	6.06	6.57	33.3	3.41	9.63	9.85	10.96	1.35	16.03	6.21	0.0	0.45	1.79
SHOX	0.0	0.32	2.07	0.0	1.43	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	4.1	1.33	0.0	4.9	2.63	0.41	0.0	2.92	1.87	1.14	2.29	0.0	2.12	1.62	5.32	0.0	1.89	2.07	4.66	1.48	2.63	0.0	0.0	0.0	0.38
SLC25A31	0.0	0.0	0.0	0.57	0.61	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	4.86	5.59	0.0	5.54	3.08	0.0	0.0	7.88	1.77	2.18	2.68	0.0	3.08	0.89	11.3	0.0	1.79	3.66	4.13	2.81	4.66	0.0	0.52	1.48	0.0
SLC35G3	0.0	0.0	2.61	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	6.36	7.82	0.0	16.88	5.77	0.0	0.0	15.22	5.19	4.66	1.95	0.0	3.0	2.05	15.56	0.0	3.32	9.48	9.34	5.19	8.19	0.8	0.0	0.0	0.79
SLC4A9	0.87	0.0	0.68	0.0	0.0	2.71	1.75	0.0	2.29	0.0	1.48	0.3	0.33	2.89	14.56	10.31	0.64	15.0	9.27	1.27	0.65	7.11	4.98	6.67	8.38	1.68	1.62	8.19	17.64	4.58	5.02	5.19	6.41	3.2	18.56	0.0	4.66	0.0	2.71
SPAG11B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	6.06	11.82	0.0	2.53	6.73	0.0	0.0	14.89	5.45	2.76	3.03	0.0	5.02	2.07	14.35	0.0	9.48	3.69	11.55	7.88	14.45	0.0	0.0	0.0	0.0
SPANXD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.93	0.0	2.16	2.01	1.39	0.0	1.53	3.96	0.0	0.0	0.0	0.0	2.16	8.06	0.0	0.96	0.0	2.48	0.0	4.82	0.0	0.0	0.0	0.0
SPANXN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.28	3.41	0.0	3.08	1.28	0.0	0.0	0.0	4.9	1.48	1.38	0.0	1.14	0.0	4.78	0.0	0.89	1.39	1.35	1.17	1.08	0.0	0.0	0.0	0.0
TARM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	3.14	0.0	10.63	1.89	0.0	0.0	6.21	2.71	2.01	3.35	0.0	1.43	0.0	6.67	0.0	1.17	2.16	5.02	0.0	5.28	0.4	0.0	0.0	0.0
TAS2R16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.59	0.0	1.77	3.35	0.0	0.0	5.82	2.76	2.05	1.13	0.0	0.89	1.39	1.57	0.0	1.19	0.0	1.1	0.0	0.74	0.0	0.0	0.0	0.0
TEX13A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	2.23	0.0	0.0	1.53	0.35	0.0	0.0	1.13	4.43	1.23	0.0	0.0	0.6	0.0	5.32	0.0	0.92	1.45	1.66	0.42	3.23	0.0	0.0	0.0	0.0
TEX28P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	1.93	0.0	1.2	1.6	0.0	0.0	0.0	1.69	1.48	0.85	0.0	1.16	0.0	7.34	0.0	1.45	1.66	3.99	1.17	1.77	0.0	0.0	0.0	0.0
TEX28P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	1.93	0.0	1.2	1.6	0.0	0.0	0.0	1.69	1.48	0.85	0.0	1.16	0.0	7.34	0.0	1.45	1.66	3.99	1.17	1.77	0.0	0.0	0.0	0.0
TMPRSS12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22	5.06	0.0	10.47	2.01	0.47	0.0	12.74	2.94	2.76	2.03	0.0	0.92	2.51	7.0	0.46	2.12	2.05	2.78	1.64	3.32	0.0	0.0	0.0	0.42
TRPM1	9.41	0.0	0.0	1.45	0.0	0.0	0.65	0.0	0.33	0.0	0.0	0.0	0.0	0.0	4.94	5.54	1.48	13.42	2.76	0.37	0.0	2.76	8.45	1.71	2.66	0.33	1.64	10.08	10.24	0.79	1.95	2.14	5.77	3.41	7.88	0.0	0.0	0.35	0.75
TSGA13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.82	1.38	0.51	7.57	1.19	0.0	0.0	7.11	2.73	0.75	0.71	0.0	0.72	2.1	10.39	0.0	0.73	1.04	3.82	0.0	1.33	0.0	0.0	0.0	0.0
UBE2NL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	3.14	0.0	2.16	0.36	0.0	0.0	0.0	1.79	1.27	0.0	0.0	1.5	1.11	4.62	0.0	1.23	2.03	2.48	0.0	1.51	0.0	0.0	0.0	0.0
USP26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.59	1.41	0.0	1.48	1.58	0.0	0.0	2.71	3.66	0.92	0.32	0.0	0.61	0.39	4.46	0.0	0.62	0.6	2.32	0.0	2.03	0.4	0.0	0.4	0.0
WDR87	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	3.56	15.11	0.43	22.75	1.0	0.47	0.0	3.06	6.41	0.93	1.39	0.0	1.17	2.94	11.64	1.31	7.17	1.93	5.45	2.84	2.63	0.0	0.0	0.0	0.0
WNT8A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38	3.96	0.0	5.02	1.04	0.48	0.0	8.85	4.82	0.97	2.58	0.0	1.23	7.0	8.85	0.0	1.55	5.23	3.56	0.43	2.25	0.0	0.42	0.0	0.0
ZFP42	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	2.2	211.31	0.56	176.29	1.19	0.0	0.0	3.5	3.14	1.11	1.35	0.0	1.97	0.52	5.15	0.0	78.34	0.75	3.23	0.47	1.2	0.0	0.0	0.48	0.0
ZSCAN10	0.0	0.0	0.39	0.62	0.0	1.66	0.0	0.0	0.0	0.0	0.95	0.0	1.93	0.0	6.31	31.67	0.6	11.64	7.57	0.65	1.08	9.2	8.92	3.56	5.15	0.0	3.44	5.96	24.28	1.16	6.89	18.16	14.03	2.29	10.24	0.0	0.0	0.0	0.0
